name,waitTime,runningTime,rngTime
BMP180,7171,3881,0
SR04,11301,2522,0
SHA256,13859,108,6688
BMP180,998570,3837,0
SR04,999857,2554,0
SHA256,977204,15,6549
BMP180,996046,3819,0
SR04,997303,2505,0
SHA256,974652,15,6468
BMP180,996078,3819,0
SR04,997384,2529,0
SHA256,974757,15,6492
BMP180,996078,3819,0
SR04,997360,2504,0
SHA256,974708,15,6467
BMP180,996078,3819,0
SR04,997385,2529,0
SHA256,974758,15,6492
BMP180,996078,3819,0
SR04,997360,2505,0
SHA256,974709,15,6468
BMP180,996078,3819,0
SR04,997384,2554,0
SHA256,974783,15,6518
BMP180,996078,3819,0
SR04,997334,2504,0
SHA256,974684,15,6468
BMP180,996078,3819,0
SR04,997385,2529,0
SHA256,974758,15,6492
BMP180,996078,3819,0
SR04,997360,2455,0
SHA256,974660,15,6419
BMP180,996078,3819,0
SR04,997433,2504,0
SHA256,974782,15,6468
BMP180,996078,3819,0
SR04,997385,2603,0
SHA256,974833,15,6567
BMP180,996078,3819,0
SR04,997287,2530,0
SHA256,974661,15,6494
BMP180,996077,3819,0
SR04,997358,2529,0
SHA256,974732,15,6493
BMP180,996078,3819,0
SR04,997360,2528,0
SHA256,974733,15,6492
BMP180,996078,3819,0
SR04,997360,2529,0
SHA256,974734,15,6492
BMP180,996078,3819,0
SR04,997360,2578,0
SHA256,974783,15,6542
BMP180,996078,3819,0
SR04,997311,2530,0
SHA256,974685,16,6494
BMP180,996078,3819,0
SR04,997359,2529,0
SHA256,974733,15,6493
BMP180,996078,3819,0
SR04,997360,2529,0
SHA256,974734,15,6493
BMP180,996078,3819,0
SR04,997359,2529,0
SHA256,974734,15,6493
BMP180,996078,3819,0
SR04,997359,2529,0
SHA256,974733,15,6493
BMP180,996078,3819,0
SR04,997360,2530,0
SHA256,974735,15,6494
BMP180,996078,3819,0
SR04,997359,2529,0
SHA256,974733,15,6493
BMP180,996078,3819,0
SR04,997360,2530,0
SHA256,974735,15,6494
BMP180,996078,3819,0
SR04,997359,2529,0
SHA256,974733,15,6493
BMP180,996078,3819,0
SR04,997359,2530,0
SHA256,974735,15,6494
BMP180,996078,3819,0
SR04,997359,2529,0
SHA256,974732,15,6492
BMP180,996078,3819,0
SR04,997360,2529,0
SHA256,974734,15,6493
BMP180,996078,3819,0
SR04,997359,2505,0
SHA256,974709,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974733,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997385,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2505,0
SHA256,974735,15,6469
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974732,15,6467
BMP180,996078,3819,0
SR04,997385,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2505,0
SHA256,974735,15,6469
BMP180,996078,3819,0
SR04,997383,2504,0
SHA256,974733,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974733,15,6467
BMP180,996078,3819,0
SR04,997385,2505,0
SHA256,974735,15,6469
BMP180,996078,3819,0
SR04,997383,2529,0
SHA256,974758,15,6493
BMP180,996078,3819,0
SR04,997360,2505,0
SHA256,974709,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974733,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2505,0
SHA256,974734,15,6469
BMP180,996078,3819,0
SR04,997383,2505,0
SHA256,974734,15,6469
BMP180,996078,3819,0
SR04,997383,2504,0
SHA256,974733,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997385,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974733,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2504,0
SHA256,974734,15,6468
BMP180,996078,3819,0
SR04,997384,2505,0
SHA256,974734,15,6468
