name,waitTime,runningTime,rngTime
BMP180,7171,3881,0
SR04,11300,2521,0
SHA256,13858,107,6686
BMP180,58571,3853,0
SR04,59878,2507,0
SHA256,37140,24,6531
BMP180,56027,3831,0
SR04,57349,2505,0
SHA256,34694,21,6493
BMP180,56060,3826,0
SR04,57376,2506,0
SHA256,34724,24,6489
BMP180,56067,3825,0
SR04,57384,2505,0
SHA256,34731,21,6486
BMP180,56067,3825,0
SR04,57386,2505,0
SHA256,34730,21,6487
BMP180,56066,3826,0
SR04,57382,2507,0
SHA256,34730,25,6490
BMP180,56067,3825,0
SR04,57384,2505,0
SHA256,34730,21,6486
BMP180,56067,3825,0
SR04,57385,2507,0
SHA256,34731,21,6488
BMP180,56066,3826,0
SR04,57381,2506,0
SHA256,34728,25,6489
BMP180,56067,3825,0
SR04,57384,2505,0
SHA256,34731,20,6485
BMP180,56067,3825,0
SR04,57386,2505,0
SHA256,34731,21,6487
BMP180,56066,3826,0
SR04,57382,2505,0
SHA256,34729,24,6488
BMP180,56067,3825,0
SR04,57385,2506,0
SHA256,34731,21,6486
BMP180,56067,3825,0
SR04,57385,2506,0
SHA256,34731,20,6487
BMP180,56066,3826,0
SR04,57382,2505,0
SHA256,34728,24,6488
BMP180,56067,3825,0
SR04,57385,2506,0
SHA256,34732,21,6487
BMP180,56067,3825,0
SR04,57385,2506,0
SHA256,34730,21,6487
BMP180,56066,3826,0
SR04,57382,2506,0
SHA256,34728,25,6489
BMP180,56067,3825,0
SR04,57384,2506,0
SHA256,34731,21,6486
BMP180,56067,3825,0
SR04,57385,2506,0
SHA256,34731,20,6487
BMP180,56066,3826,0
SR04,57382,2555,0
SHA256,34778,24,6538
BMP180,56067,3825,0
SR04,57335,2506,0
SHA256,34682,20,6486
BMP180,56067,3825,0
SR04,57385,2555,0
SHA256,34779,21,6536
BMP180,56066,3826,0
SR04,57333,2555,0
SHA256,34729,25,6539
BMP180,56067,3825,0
SR04,57335,2555,0
SHA256,34730,21,6535
BMP180,56067,3825,0
SR04,57336,2506,0
SHA256,34682,20,6487
BMP180,56066,3826,0
SR04,57382,2530,0
SHA256,34753,24,6513
BMP180,56067,3825,0
SR04,57360,2505,0
