name,waitTime,runningTime,rngTime
BMP180,7171,3881,0
SR04,11300,2522,0
SHA256,13857,108,6687
BMP180,28571,3853,0
SR04,29878,2508,0
SHA256,7141,24,6532
BMP180,26031,5478,0
SR04,28999,2504,0
SHA256,6333,19,413808
BMP180,24413,7085,0
SR04,28993,2530,0
SHA256,6354,24,445444
BMP180,22808,8717,0
SR04,28992,2537,0
SHA256,6349,19,477078
BMP180,31170,3825,0
SR04,32461,2530,0
SHA256,9833,21,6513
BMP180,26070,5455,0
SR04,28991,2529,0
SHA256,6352,21,543809
BMP180,24439,7083,0
SR04,28993,2530,0
SHA256,6353,21,575439
BMP180,22809,8715,0
SR04,28993,2537,0
SHA256,6349,18,607077
BMP180,31171,3827,0
SR04,32460,2530,0
SHA256,9833,24,6514
BMP180,26072,5453,0
SR04,28992,2528,0
SHA256,6352,18,673805
BMP180,24439,7081,0
SR04,28995,2530,0
SHA256,6354,21,705440
BMP180,22809,8716,0
SR04,28992,2536,0
SHA256,6349,21,737078
BMP180,31172,3825,0
SR04,32461,2531,0
SHA256,9834,21,6511
BMP180,26072,5452,0
SR04,28993,2528,0
SHA256,6352,18,803806
BMP180,24438,7084,0
SR04,28993,2530,0
SHA256,6353,25,835443
BMP180,22810,8715,0
SR04,28992,2537,0
SHA256,6348,19,867076
BMP180,31172,3825,0
SR04,32463,2531,0
SHA256,9834,21,6513
BMP180,26070,5456,0
SR04,28991,2528,0
SHA256,6350,21,933808
BMP180,24438,7082,0
SR04,28993,2531,0
SHA256,6354,21,965440
BMP180,22810,8715,0
SR04,28994,2538,0
SHA256,6350,19,997079
BMP180,31170,3827,0
SR04,32458,2530,0
SHA256,9830,25,6514
BMP180,26072,5453,0
SR04,28992,2529,0
SHA256,6353,19,1063806
BMP180,24439,7082,0
SR04,28995,2530,0
SHA256,6350,21,1095441
BMP180,22808,8718,0
SR04,28991,2536,0
SHA256,6345,21,1127079
BMP180,31171,3825,0
SR04,32460,2531,0
SHA256,9831,21,6512
BMP180,26072,5453,0
SR04,28994,2529,0
SHA256,6353,18,1193808
BMP180,24437,7086,0
SR04,28993,2531,0
SHA256,6350,25,1225445
BMP180,22808,8718,0
SR04,28992,2537,0
SHA256,6346,19,1257079
BMP180,31169,3825,0
SR04,32460,2530,0
SHA256,9828,21,6513
BMP180,26070,5456,0
SR04,28991,2528,0
SHA256,6350,21,1323808
BMP180,24438,7083,0
SR04,28994,2530,0
SHA256,6351,21,1355440
BMP180,22809,8715,0
SR04,28994,2536,0
SHA256,6345,19,1387078
BMP180,31170,3827,0
SR04,32459,2530,0
SHA256,9828,25,6514
BMP180,26072,5453,0
SR04,28992,2528,0
SHA256,6353,18,1453805
BMP180,24439,7081,0
SR04,28994,2506,0
SHA256,6326,21,1485416
BMP180,22809,8692,0
SR04,28991,2537,0
SHA256,6344,21,1517054
BMP180,31196,3825,0
SR04,32485,2506,0
SHA256,9830,21,6486
BMP180,26072,5428,0
SR04,28994,2504,0
SHA256,6328,19,1583758
BMP180,24462,7035,0
SR04,28993,2530,0
SHA256,6350,24,1615394
BMP180,22858,8667,0
SR04,28992,2536,0
SHA256,6345,18,1647027
BMP180,31220,3825,0
SR04,32512,2530,0
SHA256,9880,21,6513
BMP180,26070,5455,0
SR04,28990,2529,0
SHA256,6352,21,1713809
BMP180,24438,7083,0
SR04,28993,2505,0
SHA256,6325,21,1745415
BMP180,22809,8690,0
SR04,28994,2536,0
SHA256,6344,19,1777052
BMP180,31195,3827,0
SR04,32485,2530,0
SHA256,9854,25,6514
BMP180,26072,5453,0
SR04,28993,2527,0
SHA256,6352,18,1843804
BMP180,24439,7080,0
SR04,28995,2530,0
SHA256,6350,20,1875438
BMP180,22810,8715,0
SR04,28991,2537,0
SHA256,6344,21,1907076
BMP180,31174,3825,0
SR04,32462,2530,0
SHA256,9832,21,6511
BMP180,26072,5452,0
SR04,28994,2503,0
SHA256,6327,18,1973781
BMP180,24438,7059,0
SR04,28993,2531,0
SHA256,6350,25,2005418
BMP180,22835,8690,0
SR04,28992,2537,0
SHA256,6345,19,2037052
BMP180,31196,3825,0
SR04,32487,2506,0
SHA256,9831,21,6488
BMP180,26070,5431,0
SR04,28991,2528,0
SHA256,6351,21,2103784
BMP180,24463,7058,0
SR04,28993,2530,0
SHA256,6350,21,2135415
BMP180,22834,8690,0
SR04,28994,2537,0
SHA256,6346,18,2167053
BMP180,31195,3827,0
SR04,32484,2530,0
SHA256,9854,24,6514
BMP180,26072,5453,0
SR04,28992,2528,0
SHA256,6352,19,2233806
BMP180,24439,7082,0
SR04,28994,2531,0
SHA256,6351,21,2265441
BMP180,22809,8717,0
SR04,28992,2536,0
SHA256,6345,21,2297079
BMP180,31171,3825,0
SR04,32460,2530,0
SHA256,9830,21,6511
BMP180,26072,5452,0
SR04,28994,2529,0
SHA256,6352,19,2363807
BMP180,24438,7085,0
SR04,28993,2530,0
SHA256,6350,24,2395443
BMP180,22809,8716,0
SR04,28992,2537,0
SHA256,6345,19,2427077
BMP180,31171,3825,0
SR04,32462,2530,0
SHA256,9830,20,6512
BMP180,26070,5455,0
SR04,28991,2503,0
SHA256,6326,21,2493783
BMP180,24439,7057,0
SR04,28993,2505,0
SHA256,6325,21,2525389
BMP180,22835,8664,0
SR04,28993,2512,0
SHA256,6320,19,2557002
BMP180,31221,3827,0
SR04,32535,2505,0
SHA256,9879,25,6489
BMP180,26072,5428,0
SR04,28992,2503,0
SHA256,6328,19,2623756
BMP180,24464,7032,0
SR04,28994,2506,0
SHA256,6325,21,2655365
BMP180,22858,8642,0
SR04,28991,2512,0
SHA256,6325,21,2686979
BMP180,31247,3825,0
SR04,32560,2506,0
SHA256,9906,21,6487
BMP180,26072,5429,0
SR04,28994,2504,0
SHA256,6327,19,2753758
BMP180,24462,7036,0
SR04,28993,2505,0
SHA256,6325,24,2785369
BMP180,22858,8642,0
SR04,28992,2512,0
SHA256,6326,18,2816978
BMP180,31245,3825,0
SR04,32561,2506,0
SHA256,9904,21,6488
