name,waitTime,runningTime,rngTime
BMP180,7171,3881,0
SR04,11300,2522,0
SHA256,13857,108,6687
BMP180,498570,3837,0
SR04,499857,2528,0
SHA256,477176,15,6523
BMP180,496047,3820,0
SR04,497333,2528,0
SHA256,474705,15,6496
BMP180,496074,3819,0
SR04,497356,2528,0
SHA256,474730,15,6492
BMP180,496078,3819,0
SR04,497360,2435,0
SHA256,474640,16,6399
BMP180,496078,3819,0
SR04,497454,2435,0
SHA256,474734,15,6399
BMP180,496078,3819,0
SR04,497454,2529,0
SHA256,474828,15,6493
BMP180,496078,3819,0
SR04,497359,2436,0
SHA256,474640,16,6400
BMP180,496078,3819,0
SR04,497453,2436,0
SHA256,474733,16,6400
BMP180,496078,3819,0
SR04,497453,2530,0
SHA256,474827,16,6494
BMP180,496078,3819,0
SR04,497359,2436,0
SHA256,474640,15,6400
BMP180,496078,3819,0
SR04,497452,2435,0
SHA256,474733,15,6399
BMP180,496078,3819,0
SR04,497453,2436,0
SHA256,474734,15,6399
BMP180,496078,3819,0
SR04,497453,2436,0
SHA256,474734,15,6400
BMP180,496078,3819,0
SR04,497452,2435,0
SHA256,474733,15,6399
BMP180,496078,3819,0
SR04,497453,2530,0
SHA256,474828,16,6494
BMP180,496078,3819,0
SR04,497359,2530,0
SHA256,474733,15,6493
BMP180,496078,3819,0
SR04,497359,2510,0
SHA256,474714,15,6474
BMP180,496078,3819,0
SR04,497379,2534,0
SHA256,474758,15,6498
BMP180,496078,3819,0
SR04,497355,2534,0
SHA256,474733,15,6497
BMP180,496078,3819,0
SR04,497355,2435,0
SHA256,474635,15,6399
BMP180,496078,3819,0
SR04,497453,2435,0
SHA256,474734,15,6399
BMP180,496078,3819,0
SR04,497454,2534,0
SHA256,474832,16,6498
BMP180,496078,3819,0
SR04,497355,2534,0
SHA256,474734,15,6498
BMP180,496078,3819,0
SR04,497354,2534,0
SHA256,474733,16,6498
BMP180,496078,3819,0
SR04,497355,2534,0
SHA256,474734,15,6498
BMP180,496078,3819,0
SR04,497355,2529,0
SHA256,474729,15,6493
BMP180,496078,3819,0
SR04,497359,2509,0
SHA256,474713,16,6473
BMP180,496078,3819,0
SR04,497380,2504,0
SHA256,474729,15,6468
BMP180,496078,3819,0
SR04,497384,2529,0
SHA256,474758,15,6493
BMP180,496078,3819,0
SR04,497360,2534,0
SHA256,474738,16,6498
BMP180,496078,3819,0
SR04,497355,2510,0
SHA256,474710,15,6474
BMP180,496078,3819,0
SR04,497379,2509,0
SHA256,474733,15,6473
BMP180,496078,3819,0
SR04,497379,2529,0
SHA256,474754,15,6493
BMP180,496078,3819,0
SR04,497360,2528,0
SHA256,474733,15,6492
BMP180,496078,3819,0
SR04,497360,2529,0
SHA256,474733,15,6492
BMP180,496078,3819,0
SR04,497360,2504,0
SHA256,474709,15,6468
BMP180,496078,3819,0
SR04,497385,2505,0
SHA256,474735,15,6469
BMP180,496078,3819,0
SR04,497383,2505,0
SHA256,474734,15,6469
BMP180,496078,3819,0
SR04,497384,2529,0
SHA256,474757,15,6492
BMP180,496078,3819,0
SR04,497360,2505,0
SHA256,474710,15,6468
BMP180,496078,3819,0
SR04,497384,2529,0
SHA256,474757,15,6492
BMP180,496078,3819,0
SR04,497360,2505,0
SHA256,474710,15,6469
BMP180,496078,3819,0
SR04,497383,2529,0
SHA256,474757,15,6492
