name,waitTime,runningTime,scalerValue
BMP180,2897,28723,7
SR04,32007,1679,7
BMP180,1787,3837,7
SHA256,33720,92,7
SR04,3,26384,7
BMP180,26516,28804,7
SHA256,1561,18,7
SR04,2,2226,7
BMP180,2340,28830,7
SHA256,2146,29,7
SR04,3,2272,7
BMP180,2417,28799,7
SHA256,2196,22,7
SR04,3,1629,7
BMP180,1742,28834,7
SHA256,1549,30,7
SR04,3,1649,7
BMP180,1781,28802,7
SHA256,1572,20,7
SR04,3,1633,7
BMP180,1745,28836,7
SHA256,1553,33,7
SR04,3,2227,7
BMP180,2358,28805,7
SHA256,2151,19,7
SR04,3,2226,7
BMP180,2341,28828,7
SHA256,2146,30,7
SR04,3,1625,7
BMP180,1771,28800,7
SHA256,1549,23,7
SR04,2,2276,7
BMP180,2388,28835,7
SHA256,2196,29,7
SR04,3,1623,7
BMP180,1756,28802,7
SHA256,1547,20,7
SR04,3,1632,7
BMP180,1744,28836,7
SHA256,1553,33,7
SR04,3,1623,7
BMP180,1754,28805,7
SHA256,1546,20,7
SR04,3,1630,7
BMP180,1744,28829,7
SHA256,1550,29,7
SR04,3,2271,7
BMP180,2416,28800,7
SHA256,2195,23,7
SR04,2,2282,7
BMP180,2395,28832,7
SHA256,2202,30,7
SR04,3,2269,7
BMP180,2401,28802,7
SHA256,2193,20,7
SR04,2,1633,7
BMP180,1744,28835,7
SHA256,1552,34,7
SR04,3,2220,7
BMP180,2350,28806,7
SHA256,2144,20,7
SR04,3,2276,7
BMP180,2391,28829,7
SHA256,2196,30,7
SR04,3,1625,7
BMP180,1770,28800,7
SHA256,1549,23,7
SR04,3,1654,7
BMP180,1767,28834,7
SHA256,1575,29,7
SR04,3,1623,7
BMP180,1756,28802,7
SHA256,1547,20,7
SR04,2,1632,7
BMP180,1743,28835,7
SHA256,1551,34,7
SR04,3,1630,7
BMP180,1760,28803,7
SHA256,1554,20,7
SR04,3,2282,7
BMP180,2396,28829,7
SHA256,2202,29,7
SR04,3,1650,7
BMP180,1795,28800,7
SHA256,1573,23,7
SR04,3,1653,7
BMP180,1767,28834,7
SHA256,1574,30,7
SR04,3,1648,7
BMP180,1780,28802,7
SHA256,1572,20,7
SR04,3,2277,7
BMP180,2390,28835,7
SHA256,2197,33,7
SR04,3,1623,7
BMP180,1755,28805,7
SHA256,1547,20,7
SR04,3,2275,7
BMP180,2391,28829,7
SHA256,2196,30,7
SR04,3,2271,7
BMP180,2417,28800,7
SHA256,2195,23,7
SR04,3,1661,7
BMP180,1774,28832,7
SHA256,1582,29,7
SR04,3,1631,7
BMP180,1763,28799,7
SHA256,1555,20,7
SR04,2,2228,7
BMP180,2340,28835,7
SHA256,2148,34,7
SR04,3,2220,7
BMP180,2350,28806,7
SHA256,2144,20,7
SR04,3,1629,7
BMP180,1745,28828,7
SHA256,1550,30,7
SR04,3,2221,7
BMP180,2367,28800,7
SHA256,2145,23,7
SR04,3,2226,7
BMP180,2340,28834,7
SHA256,2146,30,7
SR04,3,2270,7
BMP180,2401,28802,7
SHA256,2194,19,7
SR04,3,1632,7
BMP180,1743,28836,7
SHA256,1552,33,7
SR04,2,1631,7
BMP180,1762,28803,7
SHA256,1554,20,7
SR04,2,1637,7
BMP180,1751,28829,7
SHA256,1557,29,7
SR04,3,1650,7
BMP180,1795,28800,7
SHA256,1574,22,7
SR04,3,1654,7
BMP180,1766,28835,7
SHA256,1574,30,7
SR04,3,1648,7
BMP180,1781,28802,7
SHA256,1572,20,7
SR04,2,2421,7
BMP180,2532,28836,7
SHA256,2341,33,7
SR04,3,2221,7
BMP180,2351,28805,7
SHA256,2144,19,7
SR04,3,1630,7
BMP180,1745,28828,7
SHA256,1550,30,7
SR04,3,2221,7
BMP180,2367,28800,7
SHA256,2145,23,7
SR04,3,1629,7
BMP180,1743,28834,7
SHA256,1550,30,7
SR04,3,1632,7
BMP180,1763,28800,7
SHA256,1555,19,7
SR04,3,1663,7
BMP180,1776,28835,7
SHA256,1583,33,7
SR04,3,1623,7
BMP180,1754,28806,7
SHA256,1547,20,7
SR04,3,2276,7
BMP180,2391,28829,7
SHA256,2197,29,7
SR04,3,2345,7
BMP180,2490,28800,7
SHA256,2269,22,7
SR04,3,2227,7
BMP180,2339,28835,7
SHA256,2147,29,7
SR04,3,2220,7
BMP180,2353,28802,7
SHA256,2144,20,7
SR04,2,1633,7
BMP180,1744,28836,7
SHA256,1553,33,7
SR04,3,1623,7
BMP180,1754,28805,7
SHA256,1546,20,7
SR04,3,2209,7
BMP180,2324,28829,7
SHA256,2129,30,7
SR04,3,2221,7
BMP180,2368,28799,7
SHA256,2145,23,7
SR04,3,2276,7
BMP180,2389,28834,7
SHA256,2196,29,7
SR04,2,2269,7
BMP180,2401,28802,7
SHA256,2192,20,7
SR04,3,2228,7
BMP180,2340,28835,7
SHA256,2147,34,7
SR04,3,1648,7
BMP180,1779,28805,7
SHA256,1572,20,7
SR04,3,2276,7
BMP180,2390,28829,7
SHA256,2195,30,7
SR04,3,2229,7
BMP180,2375,28797,7
SHA256,2153,22,7
SR04,3,2283,7
BMP180,2395,28834,7
SHA256,2203,29,7
SR04,3,2220,7
BMP180,2353,28802,7
SHA256,2144,20,7
SR04,3,2277,7
BMP180,2390,28835,7
SHA256,2198,34,7
SR04,3,2269,7
BMP180,2400,28806,7
SHA256,2193,20,7
SR04,2,2203,7
BMP180,2317,28829,7
SHA256,2123,29,7
SR04,3,2222,7
BMP180,2367,28800,7
SHA256,2145,22,7
SR04,2,2233,7
BMP180,2346,28831,7
SHA256,2153,30,7
SR04,3,2276,7
BMP180,2408,28803,7
SHA256,2200,19,7
SR04,3,2228,7
BMP180,2340,28835,7
SHA256,2148,33,7
SR04,3,2269,7
BMP180,2401,28805,7
SHA256,2193,20,7
SR04,3,1655,7
BMP180,1769,28829,7
SHA256,1575,29,7
SR04,3,2271,7
BMP180,2416,28800,7
SHA256,2195,23,7
SR04,2,2276,7
BMP180,2388,28834,7
SHA256,2196,29,7
SR04,3,1648,7
BMP180,1781,28802,7
SHA256,1572,20,7
SR04,2,2235,7
BMP180,2347,28833,7
SHA256,2155,34,7
SR04,2,1630,7
BMP180,1761,28805,7
SHA256,1553,20,7
SR04,3,2226,7
BMP180,2342,28828,7
SHA256,2146,30,7
SR04,3,2197,7
BMP180,2343,28799,7
SHA256,2121,22,7
SR04,3,2226,7
BMP180,2339,28834,7
SHA256,2146,30,7
