name,waitTime,runningTime,rngTime
SR04,7256,2303,0
BMP180,9630,3879,0
SHA256,13631,134,6481
SR04,30178,2212,0
BMP180,28425,3842,0
SHA256,7035,22,6235
SR04,27663,3664,0
BMP180,27436,3816,0
SHA256,6093,25,3853
SR04,3990,2263,0
BMP180,2427,3813,0
SHA256,6136,18,3842
SR04,29895,2277,0
BMP180,28340,3819,0
SHA256,7006,19,6246
SR04,4001,2280,0
BMP180,2444,3822,0
SHA256,6162,22,3856
BMP180,27429,3817,0
SR04,21249,14097,0
SHA256,6215,18,3979
BMP180,181,3813,0
SR04,3980,2293,0
SHA256,6167,17,2319
BMP180,21838,9450,0
SR04,29412,2207,0
SHA256,6459,22,2239
BMP180,2799,3814,0
SR04,3984,2208,0
SHA256,6084,18,2236
BMP180,23735,7474,0
SR04,28992,2282,0
SHA256,6108,17,2308
BMP180,2463,3814,0
SR04,3984,2377,0
SHA256,6256,22,2409
BMP180,26043,5336,0
SR04,28992,2209,0
SHA256,6037,18,2237
BMP180,2377,3823,0
SR04,3992,2282,0
SHA256,6166,22,2314
BMP180,28256,3818,0
SR04,29782,2281,0
SHA256,6910,17,6255
BMP180,2455,3822,0
SR04,3993,2259,0
SHA256,6145,22,2290
BMP180,29699,3819,0
SR04,31250,2282,0
SHA256,8380,18,6258
BMP180,2450,3822,0
SR04,3992,2282,0
SHA256,6165,22,2313
BMP180,29702,3818,0
SR04,31228,2282,0
SHA256,8356,17,6255
BMP180,2455,3822,0
SR04,3993,2259,0
SHA256,6145,22,2290
BMP180,29699,3819,0
SR04,31250,2208,0
SHA256,8306,18,6184
BMP180,2376,3822,0
SR04,3992,2282,0
SHA256,6165,22,2313
BMP180,29775,3818,0
SR04,31302,2208,0
SHA256,8356,17,6181
BMP180,2381,3822,0
SR04,3992,2259,0
SHA256,6146,22,2291
BMP180,29773,3819,0
SR04,31324,2208,0
SHA256,8380,19,6185
BMP180,2376,3823,0
SR04,3992,2282,0
SHA256,6165,23,2314
BMP180,29775,3818,0
SR04,31302,2208,0
SHA256,8356,17,6181
BMP180,2381,3822,0
SR04,3993,2259,0
SHA256,6145,23,2291
BMP180,29773,3819,0
SR04,31324,2208,0
SHA256,8379,19,6184
BMP180,2375,3823,0
SR04,3991,2282,0
SHA256,6166,22,2314
BMP180,29776,3818,0
SR04,31302,2281,0
SHA256,8430,17,6255
BMP180,2454,3822,0
SR04,3993,2258,0
SHA256,6145,22,2290
BMP180,29699,3819,0
SR04,31250,2208,0
SHA256,8305,19,6184
BMP180,2376,3822,0
SR04,3992,2281,0
SHA256,6166,22,2313
BMP180,29776,3818,0
SR04,31303,2282,0
SHA256,8430,17,6255
BMP180,2455,3822,0
SR04,3993,2259,0
SHA256,6146,22,2291
BMP180,29699,3819,0
SR04,31249,2257,0
SHA256,8353,19,6233
BMP180,2425,3822,0
SR04,3991,2282,0
SHA256,6166,22,2314
BMP180,29727,3818,0
SR04,31253,2207,0
SHA256,8306,17,6180
BMP180,2380,3822,0
SR04,3992,2259,0
SHA256,6145,23,2291
BMP180,29774,3819,0
SR04,31325,2208,0
SHA256,8381,18,6184
BMP180,2376,3822,0
SR04,3992,2282,0
SHA256,6165,23,2314
BMP180,29775,3818,0
SR04,31302,2208,0
SHA256,8356,17,6181
BMP180,2381,3822,0
SR04,3993,2259,0
SHA256,6145,23,2291
BMP180,29773,3819,0
SR04,31324,2209,0
SHA256,8380,19,6185
BMP180,2377,3822,0
SR04,3992,2282,0
SHA256,6165,23,2314
BMP180,29775,3818,0
SR04,31301,2207,0
SHA256,8355,17,6181
BMP180,2380,3822,0
SR04,3993,2259,0
SHA256,6146,22,2290
BMP180,29773,3819,0
SR04,31324,2208,0
SHA256,8380,18,6184
BMP180,2376,3823,0
SR04,3992,2282,0
SHA256,6166,22,2314
BMP180,29775,3818,0
SR04,31301,2208,0
SHA256,8356,17,6182
BMP180,2381,3822,0
SR04,3993,2258,0
SHA256,6146,22,2290
BMP180,29773,3819,0
SR04,31323,2208,0
SHA256,8378,19,6184
BMP180,2376,3822,0
SR04,3992,2281,0
SHA256,6166,22,2313
BMP180,29776,3818,0
SR04,31302,2207,0
SHA256,8356,17,6181
BMP180,2380,3822,0
SR04,3993,2259,0
SHA256,6145,22,2290
BMP180,29773,3819,0
SR04,31324,2208,0
SHA256,8379,19,6184
BMP180,2376,3822,0
SR04,3992,2282,0
SHA256,6166,23,2314
BMP180,29776,3818,0
SR04,31302,2207,0
SHA256,8356,17,6181
BMP180,2380,3822,0
SR04,3993,2259,0
SHA256,6145,23,2291
BMP180,29773,3819,0
SR04,31324,2208,0
SHA256,8379,19,6184
BMP180,2376,3822,0
SR04,3992,2281,0
SHA256,6166,22,2313
BMP180,29776,3818,0
SR04,31302,2207,0
SHA256,8356,17,6181
BMP180,2380,3822,0
SR04,3993,2259,0
SHA256,6145,23,2291
BMP180,29773,3819,0
SR04,31324,2208,0
SHA256,8379,19,6184
BMP180,2376,3822,0
SR04,3992,2281,0
SHA256,6166,22,2313
BMP180,29776,3818,0
SR04,31302,2208,0
SHA256,8356,17,6181
BMP180,2381,3822,0
SR04,3993,2259,0
SHA256,6145,23,2291
BMP180,29773,3819,0
SR04,31324,2209,0
SHA256,8380,19,6185
BMP180,2377,3822,0
SR04,3991,2283,0
SHA256,6166,22,2314
BMP180,29775,3818,0
SR04,31301,2208,0
SHA256,8356,17,6182
BMP180,2381,3822,0
SR04,3993,2259,0
SHA256,6146,22,2291
BMP180,29772,3819,0
SR04,31322,2208,0
SHA256,8378,19,6185
BMP180,2376,3823,0
SR04,3991,2282,0
SHA256,6166,22,2314
BMP180,29775,3818,0
SR04,31301,2207,0
SHA256,8355,17,6181
BMP180,2380,3822,0
SR04,3993,2258,0
SHA256,6146,22,2290
BMP180,29773,3819,0
SR04,31324,2282,0
SHA256,8454,18,6258
BMP180,2450,3822,0
SR04,3992,2282,0
SHA256,6165,22,2313
BMP180,29702,3818,0
SR04,31228,2207,0
SHA256,8282,17,6181
BMP180,2380,3822,0
SR04,3993,2259,0
SHA256,6146,22,2290
BMP180,29773,3819,0
SR04,31324,2282,0
SHA256,8453,19,6258
BMP180,2450,3822,0
SR04,3991,2375,0
SHA256,6259,22,2407
BMP180,29702,3818,0
SR04,31135,2282,0
SHA256,8264,16,6255
BMP180,2455,3822,0
SR04,3993,2258,0
SHA256,6146,22,2290
BMP180,29699,3819,0
SR04,31249,2282,0
SHA256,8379,18,6258
BMP180,2450,3822,0
SR04,3992,2256,0
SHA256,6140,22,2288
BMP180,29702,3818,0
SR04,31253,2208,0
SHA256,8308,17,6182
BMP180,2382,3822,0
SR04,3993,2258,0
SHA256,6145,22,2290
BMP180,29772,3819,0
SR04,31323,2208,0
SHA256,8379,18,6184
BMP180,2376,3822,0
SR04,3992,2282,0
SHA256,6165,23,2314
BMP180,29775,3818,0
SR04,31302,2282,0
SHA256,8429,17,6255
BMP180,2455,3822,0
SR04,3993,2259,0
SHA256,6145,22,2290
BMP180,29699,3819,0
SR04,31250,2281,0
SHA256,8379,19,6258
BMP180,2449,3824,0
SR04,3993,2283,0
SHA256,6167,22,2314
BMP180,29701,3818,0
SR04,31227,2208,0
SHA256,8281,17,6181
BMP180,2381,3822,0
SR04,3993,2258,0
SHA256,6146,22,2290
BMP180,29773,3819,0
SR04,31323,2208,0
SHA256,8379,18,6184
BMP180,2376,3823,0
SR04,3993,2376,0
SHA256,6261,22,2408
BMP180,29775,3818,0
SR04,31206,2282,0
SHA256,8334,17,6255
BMP180,2455,3822,0
SR04,3993,2259,0
SHA256,6146,22,2291
BMP180,29699,3820,0
SR04,31250,2207,0
SHA256,8305,18,6184
