name,waitTime,runningTime,rngTime
SR04,7258,2537,0
BMP180,9872,3871,0
SHA256,13865,135,6714
SR04,249937,2513,0
BMP180,248486,3821,0
SHA256,227102,15,6500
SR04,247368,2509,0
BMP180,246024,3815,0
SHA256,224691,16,6471
SR04,3992,2510,0
BMP180,2673,3820,0
SHA256,6382,15,3846
SR04,240796,2510,0
BMP180,246840,3814,0
SHA256,225513,16,13842
SR04,11363,2440,0
BMP180,2607,3820,0
SHA256,6313,14,3846
SR04,243493,2441,0
BMP180,249538,3814,0
SHA256,228211,16,13842
SR04,11432,2204,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2509,0
BMP180,249774,3814,0
SHA256,228448,16,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6076,14,3846
SR04,243730,2510,0
BMP180,249775,3814,0
SHA256,228448,16,13842
SR04,11362,2205,0
BMP180,2371,3820,0
SHA256,6077,15,3847
SR04,243729,2509,0
BMP180,249773,3814,0
SHA256,228447,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6076,15,3846
SR04,243730,2509,0
BMP180,249774,3814,0
SHA256,228447,16,13842
SR04,11363,2204,0
BMP180,2371,3819,0
SHA256,6076,15,3846
SR04,243730,2509,0
BMP180,249774,3814,0
SHA256,228447,16,13842
SR04,11363,2205,0
BMP180,2371,3820,0
SHA256,6077,15,3847
SR04,243729,2509,0
BMP180,249773,3814,0
SHA256,228447,16,13842
SR04,11363,2205,0
BMP180,2372,3820,0
SHA256,6077,15,3846
SR04,243728,2509,0
BMP180,249773,3814,0
SHA256,228446,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6077,14,3846
SR04,243729,2510,0
BMP180,249773,3814,0
SHA256,228447,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6076,15,3846
SR04,243729,2509,0
BMP180,249774,3814,0
SHA256,228447,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6076,15,3846
SR04,243729,2510,0
BMP180,249774,3814,0
SHA256,228447,16,13842
SR04,11363,2510,0
BMP180,2677,3820,0
SHA256,6382,15,3846
SR04,243423,2509,0
BMP180,249468,3814,0
SHA256,228141,16,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6075,15,3846
SR04,243730,2510,0
BMP180,249775,3814,0
SHA256,228448,16,13842
SR04,11363,2204,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2510,0
BMP180,249774,3814,0
SHA256,228448,15,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6075,15,3846
SR04,243730,2509,0
BMP180,249775,3814,0
SHA256,228449,15,13842
SR04,11364,2510,0
BMP180,2676,3820,0
SHA256,6382,15,3847
SR04,243424,2510,0
BMP180,249468,3814,0
SHA256,228143,15,13842
SR04,11363,2205,0
BMP180,2371,3820,0
SHA256,6077,15,3847
SR04,243729,2510,0
BMP180,249773,3814,0
SHA256,228448,15,13842
SR04,11363,2204,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2510,0
BMP180,249774,3814,0
SHA256,228449,15,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6077,14,3846
SR04,243729,2511,0
BMP180,249774,3814,0
SHA256,228448,15,13842
SR04,11362,2204,0
BMP180,2371,3820,0
SHA256,6077,14,3846
SR04,243729,2511,0
BMP180,249774,3814,0
SHA256,228448,15,13842
SR04,11362,2204,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2510,0
BMP180,249774,3814,0
SHA256,228449,15,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2510,0
BMP180,249774,3814,0
SHA256,228449,15,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6075,15,3846
SR04,243730,2509,0
BMP180,249775,3814,0
SHA256,228449,15,13842
SR04,11364,2204,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2510,0
BMP180,249774,3814,0
SHA256,228449,15,13842
SR04,11363,2205,0
BMP180,2371,3820,0
SHA256,6077,14,3846
SR04,243729,2509,0
BMP180,249773,3814,0
SHA256,228448,15,13842
SR04,11364,2203,0
BMP180,2370,3820,0
SHA256,6075,15,3846
SR04,243730,2509,0
BMP180,249775,3814,0
SHA256,228449,15,13842
SR04,11363,2510,0
BMP180,2677,3820,0
SHA256,6382,15,3846
SR04,243423,2511,0
BMP180,249468,3814,0
SHA256,228142,15,13842
SR04,11362,2440,0
BMP180,2607,3820,0
SHA256,6312,15,3846
SR04,243494,2510,0
BMP180,249538,3814,0
SHA256,228212,15,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2510,0
BMP180,249774,3814,0
SHA256,228449,15,13842
SR04,11362,2204,0
BMP180,2371,3820,0
SHA256,6076,15,3846
SR04,243729,2510,0
BMP180,249774,3814,0
SHA256,228448,15,13842
SR04,11363,2205,0
BMP180,2371,3820,0
SHA256,6077,15,3847
SR04,243729,2510,0
BMP180,249773,3814,0
SHA256,228448,15,13842
SR04,11363,2204,0
BMP180,2370,3820,0
SHA256,6076,15,3847
SR04,243730,2510,0
BMP180,249774,3814,0
SHA256,228448,15,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6076,14,3846
SR04,243730,2510,0
BMP180,249775,3814,0
SHA256,228449,15,13842
SR04,11363,2203,0
BMP180,2370,3820,0
SHA256,6075,15,3846
SR04,243730,2510,0
BMP180,249775,3814,0
SHA256,228449,15,13842
SR04,11362,2203,0
BMP180,2370,3820,0
SHA256,6076,14,3846
SR04,243730,2510,0
BMP180,249775,3814,0
SHA256,228449,15,13842
SR04,11363,2204,0
