name,waitTime,runningTime,rngTime
SR04,7256,2535,0
BMP180,9869,3871,0
SHA256,13862,135,6713
SR04,499938,2511,0
BMP180,498485,3819,0
SHA256,477101,16,6498
SR04,497370,2510,0
BMP180,496028,3815,0
SHA256,474695,16,6472
SR04,3992,2510,0
BMP180,2674,3820,0
SHA256,6382,15,3846
SR04,490794,2510,0
BMP180,496839,3814,0
SHA256,475512,16,13842
SR04,11363,2205,0
BMP180,2372,3820,0
SHA256,6076,15,3846
SR04,493729,2510,0
BMP180,499773,3814,0
SHA256,478446,16,13842
SR04,11363,2417,0
BMP180,2584,3819,0
SHA256,6288,15,3846
SR04,493517,2509,0
BMP180,499561,3814,0
SHA256,478234,16,13842
SR04,11363,2417,0
BMP180,2583,3820,0
SHA256,6288,15,3847
SR04,493517,2510,0
BMP180,499561,3814,0
SHA256,478235,16,13842
SR04,11362,2204,0
BMP180,2371,3820,0
SHA256,6075,15,3846
SR04,493729,2440,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11432,2204,0
BMP180,2371,3820,0
SHA256,6075,15,3846
SR04,493729,2465,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11407,2204,0
BMP180,2371,3820,0
SHA256,6076,14,3846
SR04,493729,2510,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11362,2205,0
BMP180,2371,3820,0
SHA256,6076,15,3847
SR04,493729,2510,0
BMP180,499773,3814,0
SHA256,478446,16,13842
SR04,11362,2466,0
BMP180,2633,3820,0
SHA256,6337,15,3846
SR04,493467,2510,0
BMP180,499512,3814,0
SHA256,478185,16,13842
SR04,11363,2441,0
BMP180,2608,3820,0
SHA256,6313,14,3846
SR04,493492,2510,0
BMP180,499537,3814,0
SHA256,478210,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6076,14,3846
SR04,493729,2510,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11362,2204,0
BMP180,2371,3820,0
SHA256,6076,14,3846
SR04,493729,2511,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11362,2205,0
BMP180,2371,3820,0
SHA256,6076,15,3847
SR04,493729,2509,0
BMP180,499773,3814,0
SHA256,478446,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6075,15,3846
SR04,493730,2510,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11363,2205,0
BMP180,2372,3819,0
SHA256,6076,15,3846
SR04,493729,2510,0
BMP180,499773,3814,0
SHA256,478446,16,13842
SR04,11363,2510,0
BMP180,2677,3820,0
SHA256,6382,14,3846
SR04,493423,2510,0
BMP180,499467,3814,0
SHA256,478141,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6075,15,3846
SR04,493730,2509,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11363,2510,0
BMP180,2676,3820,0
SHA256,6381,15,3847
SR04,493424,2510,0
BMP180,499468,3814,0
SHA256,478142,16,13842
SR04,11363,2254,0
BMP180,2421,3820,0
SHA256,6125,15,3846
SR04,493679,2510,0
BMP180,499724,3814,0
SHA256,478397,16,13842
SR04,11363,2510,0
BMP180,2676,3820,0
SHA256,6381,15,3847
SR04,493424,2510,0
BMP180,499468,3814,0
SHA256,478141,16,13842
SR04,11363,2510,0
BMP180,2677,3820,0
SHA256,6382,14,3846
SR04,493423,2510,0
BMP180,499468,3814,0
SHA256,478141,16,13842
SR04,11363,2510,0
BMP180,2677,3820,0
SHA256,6381,15,3846
SR04,493424,2510,0
BMP180,499468,3814,0
SHA256,478141,16,13842
SR04,11362,2440,0
BMP180,2607,3820,0
SHA256,6312,14,3846
SR04,493493,2510,0
BMP180,499538,3814,0
SHA256,478211,16,13842
SR04,11363,2534,0
BMP180,2701,3820,0
SHA256,6406,14,3846
SR04,493399,2509,0
BMP180,499443,3814,0
SHA256,478117,16,13842
SR04,11363,2204,0
BMP180,2371,3820,0
SHA256,6076,14,3846
SR04,493729,2510,0
BMP180,499774,3814,0
SHA256,478447,16,13842
SR04,11363,2204,0
BMP180,2370,3820,0
SHA256,6075,15,3847
SR04,493730,2511,0
BMP180,499774,3814,0
SHA256,478448,16,13842
SR04,11362,2204,0
BMP180,2370,3820,0
SHA256,6075,15,3847
SR04,493730,2510,0
BMP180,499774,3814,0
