name,waitTime,runningTime,rngTime
SR04,7258,2280,0
BMP180,9609,3879,0
SHA256,13610,134,6458
SR04,10204,21237,0
BMP180,27480,3840,0
SHA256,6072,21,3873
BMP180,27309,3818,0
SR04,8633,26621,0
SHA256,6096,27,3980
SR04,3861,2253,0
BMP180,176,6190,0
SHA256,6123,15,2394
SR04,161,2253,0
BMP180,6936,26583,0
SHA256,33418,15,26613
BMP180,63,3823,0
SHA256,3770,21,456316
BMP180,52,3814,0
SR04,28868,2416,0
SR04,28868,2259,0
SHA256,35076,19,25921
SR04,62,2283,0
SHA256,2232,16,494069
SR04,52,2265,0
BMP180,5343,26030,0
BMP180,27303,3843,0
SHA256,33548,30,22150
BMP180,62,3811,0
SHA256,3758,15,531826
BMP180,52,3826,0
SR04,9152,22257,0
BMP180,9820,21417,0
SR04,28866,2401,0
SHA256,35227,19,21582
BMP180,170,3809,0
SR04,3974,2260,0
SHA256,6121,17,2286
SR04,28871,2257,0
SHA256,5967,23,2289
SR04,62,2292,0
SHA256,2242,16,607317
SR04,53,2278,0
BMP180,4400,29267,0
BMP180,27308,3817,0
SHA256,33538,20,25378
BMP180,64,3811,0
SHA256,3761,17,645069
BMP180,52,3825,0
SR04,5890,25496,0
SR04,28869,2258,0
SHA256,35087,15,24677
SR04,62,2281,0
SHA256,2226,18,682829
SR04,52,2278,0
BMP180,6582,24790,0
BMP180,27305,3846,0
SHA256,33566,30,30926
BMP180,61,3812,0
SHA256,3760,15,720600
BMP180,53,3813,0
SR04,380,31030,0
BMP180,1063,30173,0
SR04,28869,2401,0
SHA256,35202,18,30338
BMP180,176,3810,0
SR04,3976,2259,0
SHA256,6121,19,2287
SR04,28872,2257,0
SHA256,5968,23,2289
SR04,62,2292,0
SHA256,2242,16,796084
SR04,53,2253,0
BMP180,5633,28034,0
BMP180,27308,3818,0
SHA256,33514,20,24121
BMP180,63,3812,0
SHA256,3760,17,833811
BMP180,52,3825,0
SR04,7148,24239,0
SR04,28868,2259,0
SHA256,35087,15,23420
SR04,61,2282,0
SHA256,2227,17,871571
SR04,53,2277,0
BMP180,7840,23532,0
BMP180,27305,3819,0
SHA256,33537,32,29642
BMP180,62,3823,0
SHA256,3771,15,909331
BMP180,52,3813,0
SR04,1638,29750,0
SR04,28868,2257,0
SHA256,35073,16,28926
SR04,63,2269,0
SHA256,2213,17,947070
SR04,52,2254,0
BMP180,2333,29041,0
BMP180,27305,3819,0
SHA256,33514,31,25117
BMP180,62,3811,0
SHA256,3760,16,984795
BMP180,53,3825,0
SR04,6162,25226,0
SR04,28869,2258,0
SHA256,35087,16,24404
SR04,63,2283,0
SHA256,2227,16,1022560
SR04,52,2253,0
BMP180,6856,24519,0
BMP180,27305,3845,0
SHA256,33539,30,30633
BMP180,61,3812,0
SHA256,3760,15,1060307
BMP180,52,3813,0
SR04,674,30737,0
SR04,28868,2257,0
BMP180,1357,29993,0
SHA256,35068,17,29900
SR04,162,2259,0
SHA256,2185,17,1098162
BMP180,2433,3816,0
BMP180,27306,3812,0
SR04,7459,27742,0
SHA256,35085,27,27779
SR04,3859,2256,0
SHA256,6001,15,2281
SR04,61,2281,0
SHA256,2236,14,1142129
SR04,3492,23834,0
BMP180,175,6200,0
BMP180,2319,3827,0
SHA256,8521,30,6154
BMP180,9682,19214,0
SHA256,3736,15,1204930
BMP180,55,3826,0
SR04,145,6253,0
BMP180,135,3808,0
SR04,6592,28478,0
SHA256,39024,26,35072
SR04,39,2268,0
SHA256,2192,15,1246619
SR04,60,2257,0
SHA256,2201,15,1249030
SR04,6590,20737,0
BMP180,27308,6369,0
BMP180,2320,3819,0
SHA256,8514,28,6146
BMP180,2788,26115,0
SHA256,3740,15,1311833
BMP180,55,3824,0
SR04,151,6249,0
BMP180,134,3809,0
SR04,9690,25383,0
SHA256,39024,26,35075
SR04,39,2256,0
SHA256,2180,16,1353512
SR04,60,2293,0
SHA256,2237,15,1355959
SR04,9661,17663,0
BMP180,27308,6360,0
BMP180,2318,3819,0
SHA256,8516,30,6146
BMP180,60,3812,0
SHA256,3765,15,1393729
BMP180,1891,26998,0
SR04,151,6245,0
BMP180,138,3821,0
SR04,3972,2258,0
SHA256,10166,17,6221
BMP180,2415,3811,0
SR04,6456,28622,0
SHA256,34968,30,28661
SR04,39,2267,0
SHA256,2191,16,1466775
SR04,60,2257,0
SHA256,2201,15,1469186
SR04,6433,20891,0
BMP180,27305,6381,0
BMP180,2320,3820,0
SHA256,8514,28,6146
BMP180,2634,26269,0
SHA256,3740,16,1531988
BMP180,55,3824,0
SR04,151,6249,0
BMP180,135,3808,0
SR04,9536,25537,0
SHA256,39024,26,35074
SR04,38,2258,0
SHA256,2181,15,1573666
SR04,60,2294,0
SHA256,2238,14,1576113
SR04,9506,17817,0
BMP180,27308,6360,0
BMP180,2317,3820,0
SHA256,8516,29,6145
BMP180,60,3811,0
SHA256,3764,15,1613883
BMP180,1736,27153,0
SR04,151,6244,0
BMP180,138,3822,0
SR04,3973,2258,0
SHA256,10167,17,6222
BMP180,2414,3812,0
SR04,6301,28777,0
SHA256,34969,30,28817
SR04,38,2268,0
SHA256,2191,16,1686931
SR04,60,2258,0
SHA256,2202,15,1689342
SR04,6278,21047,0
BMP180,27306,6381,0
BMP180,2320,3820,0
SHA256,8515,28,6146
BMP180,2478,26425,0
SHA256,3740,16,1752144
BMP180,55,3824,0
SR04,151,6249,0
BMP180,135,3808,0
SR04,9380,25693,0
SHA256,39025,26,35075
SR04,38,2257,0
SHA256,2180,15,1793822
SR04,60,2294,0
SHA256,2238,14,1796269
SR04,9350,17974,0
BMP180,27309,6359,0
BMP180,2317,3820,0
SHA256,8515,30,6145
BMP180,60,3812,0
SHA256,3764,15,1834039
BMP180,1581,27309,0
SR04,151,6244,0
BMP180,138,3822,0
SR04,3973,2259,0
SHA256,10167,17,6222
BMP180,2415,3812,0
SR04,6144,28934,0
SHA256,34968,30,28973
SR04,39,2292,0
SHA256,2216,16,1907112
SR04,60,2258,0
SHA256,2202,14,1909522
SR04,6097,21227,0
BMP180,27305,6406,0
BMP180,2345,3819,0
SHA256,8539,28,6171
BMP180,2273,26630,0
SHA256,3740,15,1972348
BMP180,55,3824,0
SR04,151,6274,0
BMP180,134,3809,0
SR04,9175,25898,0
SHA256,39024,26,35075
SR04,39,2256,0
SHA256,2180,16,2014027
SR04,60,2294,0
SHA256,2237,14,2016473
SR04,9146,18178,0
BMP180,27308,6360,0
BMP180,2342,3820,0
SHA256,8541,29,6169
BMP180,60,3812,0
SHA256,3765,14,2054268
BMP180,1351,27538,0
SR04,152,6268,0
BMP180,138,3822,0
SR04,3973,2259,0
SHA256,10167,17,6222
BMP180,2415,3812,0
SR04,5915,29164,0
SHA256,34969,30,29203
SR04,39,2292,0
SHA256,2216,16,2127342
SR04,60,2258,0
SHA256,2202,14,2129752
SR04,5867,21458,0
BMP180,27306,6406,0
BMP180,2320,3819,0
