ame,waitTime,runningTime,rngTime
SHA256,6391,22,3856
SR04,113410,2534,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11345,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2510,0
BMP180,119447,3817,0
SHA256,98112,18,13848
SR04,11369,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113411,2510,0
BMP180,119447,3817,0
SHA256,98112,18,13848
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113410,2510,0
BMP180,119445,3817,0
SHA256,98111,18,13848
SR04,11369,2510,0
BMP180,2678,3823,0
SHA256,6389,22,3856
SR04,113412,2510,0
BMP180,119447,3817,0
SHA256,98113,18,13848
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113410,2510,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11369,2512,0
BMP180,2679,3823,0
SHA256,6390,22,3856
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98112,18,13848
SR04,11370,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2510,0
BMP180,119447,3817,0
SHA256,98112,18,13848
SR04,11369,2512,0
BMP180,2679,3823,0
SHA256,6390,22,3856
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98112,18,13848
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11369,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98112,18,13848
SR04,11369,2512,0
BMP180,2679,3823,0
SHA256,6390,23,3857
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98112,18,13848
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2511,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11369,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2509,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11370,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113412,2509,0
BMP180,119447,3817,0
SHA256,98112,18,13848
SR04,11370,2511,0
BMP180,2679,3822,0
SHA256,6390,22,3856
SR04,113411,2509,0
BMP180,119447,3817,0
SHA256,98112,18,13848
SR04,11370,2512,0
BMP180,2679,3823,0
SHA256,6390,22,3856
SR04,113411,2510,0
BMP180,119446,3817,0
SHA256,98112,18,13848
SR04,11369,2462,0
BMP180,2629,3823,0
SHA256,6340,22,3856
SR04,113461,2510,0
BMP180,119496,3817,0
SHA256,98162,18,13848
SR04,11369,2561,0
BMP180,2729,3822,0
SHA256,6440,22,3856
SR04,113361,2510,0
BMP180,119397,3817,0
SHA256,98062,18,13848
SR04,11370,2512,0
BMP180,2680,3822,0
SHA256,6391,22,3856
SR04,113411,2509,0
BMP180,119446,3817,0
SHA256,98111,18,13848
SR04,11370,2463,0
BMP180,2631,3822,0
SHA256,6342,22,3856
SR04,113459,2510,0
BMP180,119495,3817,0
SHA256,98160,18,13848
SR04,11370,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113461,2510,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11369,2463,0
BMP180,2631,3822,0
SHA256,6342,22,3856
SR04,113459,2510,0
BMP180,119495,3817,0
SHA256,98160,18,13848
SR04,11369,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113461,2510,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11370,2462,0
BMP180,2629,3823,0
SHA256,6340,22,3856
SR04,113461,2510,0
BMP180,119496,3817,0
SHA256,98162,18,13848
SR04,11369,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113460,2510,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11369,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113461,2510,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11369,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113460,2510,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11369,2461,0
BMP180,2629,3823,0
SHA256,6340,22,3856
SR04,113461,2510,0
BMP180,119496,3817,0
SHA256,98162,18,13848
SR04,11369,2463,0
BMP180,2630,3823,0
SHA256,6342,22,3857
SR04,113460,2510,0
BMP180,119495,3817,0
SHA256,98160,18,13848
SR04,11369,2462,0
BMP180,2629,3823,0
SHA256,6340,22,3856
SR04,113461,2509,0
BMP180,119496,3817,0
SHA256,98162,18,13848
SR04,11370,2462,0
BMP180,2630,3822,0
SHA256,6341,22,3856
SR04,113460,2510,0
BMP180,119496,3817,0
SHA256,98161,18,13848
SR04,11369,2463,0
BMP180,2630,3823,0
SHA256,6341,22,3856
SR04,113460,2510,0
