name,waitingTime,runningTime,rngTime
SR04,6645,27571,0
SHA256,34253,158,31698
BMP180,245067,3945,0
SR04,221179,27567,0
SHA256,248595,36,31515
BMP180,246003,3886,0
SR04,222224,27548,0
SHA256,249659,25,31443
BMP180,246050,3846,0
SR04,222318,27597,0
SHA256,249806,22,31488
BMP180,246053,3843,0
SR04,222271,27596,0
SHA256,249758,23,31488
BMP180,246053,3843,0
SR04,222272,27573,0
SHA256,249735,23,31464
BMP180,246053,3843,0
SR04,222295,27547,0
SHA256,249733,22,31438
BMP180,246053,3843,0
SR04,222321,27548,0
SHA256,249759,23,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249758,23,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249758,23,31439
BMP180,246053,3843,0
SR04,222320,27573,0
SHA256,249783,23,31464
BMP180,246053,3843,0
SR04,222295,27548,0
SHA256,249734,22,31439
BMP180,246053,3843,0
SR04,222320,27572,0
SHA256,249783,23,31464
BMP180,246053,3843,0
SR04,222296,27573,0
SHA256,249760,22,31464
BMP180,246053,3843,0
SR04,222295,27548,0
SHA256,249733,23,31439
BMP180,246053,3843,0
SR04,222321,27547,0
SHA256,249758,22,31438
BMP180,246053,3843,0
SR04,222321,27547,0
SHA256,249759,22,31438
BMP180,246053,3843,0
SR04,222321,27548,0
SHA256,249760,22,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222320,27524,0
SHA256,249734,23,31415
BMP180,246053,3843,0
SR04,222345,27523,0
SHA256,249758,22,31414
BMP180,246053,3843,0
SR04,222345,27524,0
SHA256,249759,23,31415
BMP180,246053,3843,0
SR04,222344,27523,0
SHA256,249757,23,31414
BMP180,246053,3843,0
SR04,222346,27523,0
SHA256,249760,22,31414
BMP180,246053,3843,0
SR04,222345,27548,0
SHA256,249784,22,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222320,27573,0
SHA256,249784,22,31464
BMP180,246053,3843,0
SR04,222295,27548,0
SHA256,249734,22,31439
BMP180,246053,3843,0
SR04,222320,27573,0
SHA256,249783,23,31464
BMP180,246053,3843,0
SR04,222295,27572,0
SHA256,249758,22,31463
BMP180,246053,3843,0
SR04,222296,27548,0
SHA256,249734,23,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,23,31440
BMP180,246053,3843,0
SR04,222320,27547,0
SHA256,249758,23,31439
BMP180,246053,3843,0
SR04,222321,27548,0
SHA256,249759,23,31439
BMP180,246053,3843,0
SR04,222321,27572,0
SHA256,249782,23,31463
BMP180,246053,3843,0
SR04,222296,27549,0
SHA256,249735,23,31440
BMP180,246053,3843,0
SR04,222320,27573,0
SHA256,249784,22,31464
BMP180,246053,3843,0
SR04,222295,27573,0
SHA256,249758,23,31464
BMP180,246053,3843,0
SR04,222295,27548,0
SHA256,249733,23,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222320,27549,0
SHA256,249759,23,31440
BMP180,246053,3843,0
SR04,222319,27548,0
SHA256,249757,23,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222320,27572,0
SHA256,249782,23,31463
BMP180,246053,3843,0
SR04,222296,27548,0
SHA256,249734,23,31439
BMP180,246053,3843,0
SR04,222321,27548,0
SHA256,249758,23,31439
BMP180,246053,3843,0
SR04,222321,27572,0
SHA256,249782,23,31463
BMP180,246053,3843,0
SR04,222296,27548,0
SHA256,249735,22,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249758,23,31439
BMP180,246053,3843,0
SR04,222320,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222320,27522,0
SHA256,249733,22,31413
BMP180,246053,3843,0
SR04,222346,27548,0
SHA256,249784,23,31439
BMP180,246053,3843,0
SR04,222321,27548,0
SHA256,249759,22,31439
BMP180,246053,3843,0
SR04,222319,27548,0
SHA256,249757,23,31438
BMP180,246054,3842,0
SR04,222321,27548,0
SHA256,249759,23,31439
BMP180,246053,3843,0
SR04,222321,27548,0
SHA256,249758,23,31439
