name,waitingTime,runningTime,rngTime
BMP180,27386,4094,0
SR04,6794,31557,0
BMP180,27727,3899,0
SHA256,63359,2803,31702
SR04,3,31644,0
BMP180,27710,3889,0
SHA256,28722,2735,431724
SR04,3,31525,0
SHA256,3702,15,435695
BMP180,27513,4021,0
SR04,106,31446,0
SHA256,6381,24,3864
BMP180,27547,4024,0
SR04,99,31469,0
SHA256,6392,23,3862
BMP180,27514,4025,0
SR04,105,31513,0
BMP180,27717,3879,0
SHA256,31413,2729,31597
SR04,3,31616,0
BMP180,27715,3882,0
SHA256,28731,2732,590154
SR04,3,31608,0
BMP180,27662,3887,0
SHA256,28731,2685,621825
SR04,3,31480,0
SHA256,3701,19,625802
BMP180,27512,4024,0
SR04,106,31441,0
SHA256,6376,25,3865
BMP180,27522,4022,0
SR04,99,31444,0
SHA256,6370,20,3859
BMP180,27514,4022,0
SR04,104,31505,0
SHA256,31406,2631,31498
BMP180,27623,3874,0
SR04,3,27522,0
SHA256,5,15,748571
BMP180,27510,3894,0
SR04,2,31396,0
BMP180,27599,3875,0
SHA256,31406,2617,31484
SR04,3,31424,0
BMP180,27450,4018,0
SHA256,28725,2604,843244
SR04,101,31405,0
SHA256,3699,22,847247
BMP180,27517,4023,0
SR04,103,31440,0
SHA256,6365,27,3868
BMP180,27497,4033,0
SR04,103,31480,0
BMP180,27672,3870,0
SHA256,31374,2683,31545
SR04,3,31568,0
SHA256,28732,2559,969767
BMP180,27541,3887,0
SR04,3,27444,0
SHA256,5,15,969938
BMP180,27490,3887,0
SR04,3,31373,0
BMP180,27647,3872,0
SHA256,31378,2661,31526
SR04,3,31462,0
SHA256,3702,17,1037016
BMP180,27510,4024,0
SR04,110,31440,0
SHA256,6365,29,3866
BMP180,27528,4024,0
SR04,94,31512,0
SHA256,31392,2728,31594
BMP180,27713,3881,0
SR04,3,27613,0
SHA256,5,19,1128229
BMP180,27515,3887,0
SR04,3,31405,0
BMP180,27673,3871,0
SHA256,31405,2685,31552
SR04,2,31567,0
BMP180,27712,3885,0
SHA256,28728,2735,1223107
SR04,3,31547,0
SHA256,3699,18,1227093
BMP180,27513,4021,0
SR04,106,31442,0
SHA256,6365,25,3867
BMP180,27522,4033,0
SR04,103,31511,0
BMP180,27718,3875,0
SHA256,31398,2733,31597
SR04,2,31616,0
SHA256,28735,2730,1349865
BMP180,27711,3887,0
SR04,3,27616,0
SHA256,5,15,1350041
BMP180,27540,3887,0
SR04,3,31426,0
BMP180,27668,3871,0
SHA256,31426,2685,31550
SR04,3,31476,0
SHA256,3701,18,1417196
BMP180,27533,4025,0
SR04,110,31467,0
SHA256,6393,30,3869
BMP180,27574,4029,0
SR04,97,31565,0
SHA256,31442,2680,31546
BMP180,27664,3881,0
SR04,3,27562,0
SHA256,5,15,1508439
BMP180,27540,3886,0
SR04,2,31426,0
BMP180,27723,3872,0
SHA256,31428,2735,31602
SR04,3,31541,0
SHA256,3702,17,1575645
BMP180,27509,4023,0
SR04,109,31442,0
SHA256,6369,30,3870
BMP180,27523,4030,0
SR04,97,31445,0
SHA256,6366,23,3864
BMP180,27536,4026,0
SR04,108,31529,0
BMP180,27723,3869,0
SHA256,31436,2729,31595
SR04,3,31607,0
SHA256,28731,2755,1730108
BMP180,27736,3884,0
SR04,3,27638,0
SHA256,6,14,1730281
BMP180,27566,3880,0
SR04,3,31387,0
SHA256,6417,27,3866
BMP180,27523,4013,0
SR04,97,31446,0
SHA256,6366,22,3863
BMP180,27509,4028,0
SR04,108,31440,0
SHA256,6379,26,3866
BMP180,27549,4024,0
SR04,97,31539,0
SHA256,31418,2730,31596
BMP180,27714,3881,0
SR04,3,27615,0
SHA256,5,15,1888673
BMP180,27540,3887,0
SR04,3,31426,0
BMP180,27671,3871,0
SHA256,31426,2686,31550
SR04,2,31489,0
SHA256,3702,17,1955828
BMP180,27510,4024,0
SR04,110,31443,0
SHA256,6369,30,3870
BMP180,27547,4030,0
SR04,97,31469,0
SHA256,6391,23,3864
BMP180,27586,4026,0
SR04,108,31583,0
BMP180,27724,3871,0
SHA256,31487,2731,31598
SR04,3,31615,0
SHA256,28733,2754,2110380
BMP180,27735,3885,0
SR04,3,27638,0
SHA256,5,15,2110554
BMP180,27714,3880,0
SR04,2,31535,0
SHA256,6565,27,3865
BMP180,27671,4012,0
SR04,97,31594,0
SHA256,6514,23,3864
BMP180,27536,4029,0
SR04,108,31525,0
BMP180,27722,3869,0
SHA256,31431,2731,31595
SR04,3,31613,0
SHA256,28735,2730,2269136
BMP180,27711,3887,0
SR04,3,27616,0
SHA256,6,14,2269312
BMP180,27540,3886,0
SR04,3,31426,0
BMP180,27720,3871,0
SHA256,31426,2734,31599
SR04,3,31538,0
SHA256,3702,16,2336515
BMP180,27658,4025,0
SR04,110,31591,0
SHA256,6517,31,3870
