name,waitingTime,runningTime,rngTime
SR04,6792,27351,0
SHA256,34180,154,31623
BMP180,114919,4093,0
SR04,91270,27460,0
SHA256,118591,53,31501
BMP180,115924,3962,0
SR04,92275,27488,0
SHA256,119649,30,31425
BMP180,116014,3882,0
SR04,92382,27480,0
SHA256,119752,37,31434
BMP180,116005,3891,0
SR04,92361,27488,0
SHA256,119738,31,31425
BMP180,116015,3881,0
SR04,92380,27481,0
SHA256,119753,36,31434
BMP180,116005,3891,0
SR04,92361,27488,0
SHA256,119738,30,31425
BMP180,116015,3881,0
SR04,92379,27481,0
SHA256,119751,37,31433
BMP180,116006,3890,0
SR04,92362,27489,0
SHA256,119740,31,31426
BMP180,116015,3881,0
SR04,92378,27481,0
SHA256,119750,37,31433
BMP180,116006,3890,0
SR04,92362,27489,0
SHA256,119740,31,31426
BMP180,116015,3881,0
SR04,92379,27481,0
SHA256,119750,37,31433
BMP180,116006,3890,0
SR04,92362,27487,0
SHA256,119739,30,31424
BMP180,116015,3881,0
SR04,92380,27481,0
SHA256,119753,36,31433
BMP180,116006,3890,0
SR04,92361,27488,0
SHA256,119738,31,31425
BMP180,116015,3881,0
SR04,92380,27480,0
SHA256,119751,37,31433
BMP180,116005,3891,0
SR04,92362,27488,0
SHA256,119739,30,31425
BMP180,116015,3881,0
SR04,92380,27480,0
SHA256,119751,37,31433
BMP180,116005,3891,0
SR04,92362,27488,0
SHA256,119739,31,31425
BMP180,116015,3881,0
SR04,92379,27481,0
SHA256,119752,36,31433
BMP180,116006,3890,0
SR04,92361,27489,0
SHA256,119739,31,31426
BMP180,116015,3881,0
SR04,92378,27480,0
SHA256,119750,36,31432
BMP180,116006,3890,0
SR04,92362,27488,0
SHA256,119739,31,31425
BMP180,116015,3881,0
SR04,92380,27481,0
SHA256,119752,37,31434
BMP180,116005,3891,0
SR04,92361,27488,0
SHA256,119738,31,31425
BMP180,116015,3881,0
SR04,92379,27480,0
SHA256,119751,36,31432
BMP180,116006,3890,0
SR04,92362,27488,0
SHA256,119739,31,31425
BMP180,116015,3881,0
SR04,92379,27481,0
SHA256,119752,36,31433
BMP180,116006,3890,0
SR04,92361,27488,0
SHA256,119739,30,31425
BMP180,116015,3881,0
SR04,92380,27480,0
SHA256,119752,36,31433
BMP180,116005,3891,0
SR04,92362,27489,0
SHA256,119739,31,31426
BMP180,116014,3882,0
SR04,92379,27481,0
SHA256,119752,36,31434
BMP180,116005,3891,0
SR04,92360,27489,0
SHA256,119738,31,31426
BMP180,116014,3882,0
SR04,92379,27480,0
SHA256,119751,37,31434
BMP180,116005,3891,0
SR04,92361,27489,0
SHA256,119740,30,31426
BMP180,116014,3882,0
SR04,92378,27480,0
SHA256,119749,36,31432
BMP180,116005,3891,0
SR04,92363,27489,0
SHA256,119741,30,31426
BMP180,116014,3882,0
SR04,92379,27481,0
SHA256,119751,37,31434
BMP180,116005,3891,0
SR04,92361,27489,0
SHA256,119740,30,31426
BMP180,116014,3882,0
SR04,92378,27481,0
SHA256,119751,36,31433
BMP180,116005,3891,0
SR04,92361,27489,0
SHA256,119739,31,31426
BMP180,116015,3881,0
SR04,92379,27480,0
SHA256,119750,37,31433
BMP180,116005,3891,0
SR04,92362,27488,0
SHA256,119740,30,31425
BMP180,116015,3881,0
SR04,92380,27481,0
SHA256,119752,37,31434
BMP180,116005,3891,0
SR04,92361,27489,0
SHA256,119739,31,31426
BMP180,116014,3882,0
SR04,92379,27481,0
SHA256,119751,37,31434
BMP180,116005,3891,0
SR04,92361,27489,0
SHA256,119740,30,31426
BMP180,116014,3882,0
SR04,92379,27482,0
SHA256,119751,37,31435
BMP180,116005,3891,0
SR04,92360,27465,0
SHA256,119714,31,31402
BMP180,116014,3882,0
SR04,92404,27480,0
SHA256,119774,37,31433
BMP180,116005,3891,0
SR04,92362,27488,0
SHA256,119740,30,31425
BMP180,116014,3882,0
SR04,92380,27480,0
SHA256,119752,36,31433
BMP180,116005,3891,0
SR04,92362,27490,0
SHA256,119740,31,31427
