name,waitingTime,runningTime,rngTime
BMP180,27363,4093,0
SR04,6792,31532,0
BMP180,27532,3897,0
SHA256,63331,2608,31505
SR04,3,31448,0
BMP180,27539,3887,0
SHA256,28721,2563,431330
SR04,3,31417,0
BMP180,27520,3875,0
SHA256,28726,2538,462849
SR04,3,31327,0
SHA256,3702,14,466808
SR04,110,27471,0
SHA256,2408,29,494508
BMP180,28620,4029,0
BMP180,27478,3900,0
SR04,5022,31481,0
BMP180,27525,3870,0
SHA256,61340,2554,31415
SR04,3,31422,0
BMP180,27515,3887,0
SHA256,28730,2534,590142
SR04,2,31403,0
BMP180,27518,3882,0
SHA256,28729,2540,621672
SR04,3,31330,0
SHA256,3703,14,625636
SR04,110,27471,0
SHA256,2409,29,653337
BMP180,29792,4031,0
BMP180,27505,3876,0
SR04,6162,31490,0
BMP180,27525,3869,0
SHA256,62507,2538,31398
SR04,3,31420,0
BMP180,27539,3887,0
SHA256,28735,2558,750141
SR04,3,31426,0
BMP180,27518,3882,0
SHA256,28729,2540,781671
SR04,3,31330,0
SHA256,3704,13,785635
SR04,110,27471,0
SHA256,2408,30,813336
BMP180,29792,4031,0
BMP180,27504,3876,0
SR04,6163,31489,0
BMP180,27526,3869,0
SHA256,62507,2538,31398
SR04,3,31421,0
BMP180,27516,3887,0
SHA256,28734,2535,910117
SR04,3,31404,0
BMP180,27519,3881,0
SHA256,28729,2541,941648
SR04,3,31350,0
SR04,81,27355,0
SHA256,28728,2525,973148
SHA256,5,23,973430
BMP180,29826,4021,0
BMP180,27498,3887,0
SR04,6332,31493,0
BMP180,27524,3868,0
SHA256,62536,2538,31396
SR04,3,31428,0
SHA256,28736,2534,1070140
BMP180,27514,3887,0
SR04,3,27418,0
SHA256,6,14,1070313
BMP180,27492,3881,0
SR04,3,31319,0
SHA256,6349,26,3865
SR04,98,27484,0
SHA256,2407,21,1133437
BMP180,29697,4012,0
BMP180,27495,3891,0
SR04,6091,31500,0
BMP180,27526,3870,0
SHA256,62444,2538,31399
SR04,2,31431,0
SHA256,28737,2534,1230150
BMP180,27515,3887,0
SR04,2,27415,0
