name,waitingTime,runningTime,rngTime
SR04,6792,27375,0
SHA256,34204,154,31647
BMP180,54919,4093,0
SR04,31244,27485,0
SHA256,58589,53,31526
BMP180,55926,3963,0
SR04,32250,27513,0
SHA256,59651,31,31451
BMP180,56017,3883,0
SR04,32358,27505,0
SHA256,59755,37,31459
BMP180,56008,3892,0
SR04,32337,27514,0
SHA256,59743,31,31452
BMP180,56017,3883,0
SR04,32355,27530,0
SHA256,59778,37,31484
BMP180,56008,3892,0
SR04,32312,27537,0
SHA256,59742,31,31476
BMP180,56017,3883,0
SR04,32331,27505,0
SHA256,59730,37,31459
BMP180,56008,3892,0
SR04,32337,27513,0
SHA256,59742,31,31451
BMP180,56017,3883,0
SR04,32356,27530,0
SHA256,59779,37,31484
BMP180,56008,3892,0
SR04,32312,27514,0
SHA256,59718,31,31452
BMP180,56017,3883,0
SR04,32355,27529,0
SHA256,59778,36,31483
BMP180,56008,3892,0
SR04,32313,27513,0
SHA256,59719,30,31451
BMP180,56017,3883,0
SR04,32355,27580,0
SHA256,59829,37,31534
BMP180,56008,3892,0
SR04,32262,27514,0
SHA256,59668,31,31452
BMP180,56017,3883,0
SR04,32355,27529,0
SHA256,59778,36,31483
BMP180,56008,3892,0
SR04,32313,27538,0
SHA256,59743,31,31476
BMP180,56017,3883,0
SR04,32331,27529,0
SHA256,59755,36,31483
BMP180,56008,3892,0
SR04,32313,27538,0
SHA256,59742,31,31476
BMP180,56017,3883,0
SR04,32331,27578,0
SHA256,59804,36,31532
BMP180,56008,3892,0
SR04,32264,27539,0
SHA256,59695,31,31477
BMP180,56017,3883,0
SR04,32330,27554,0
SHA256,59778,37,31508
BMP180,56008,3892,0
SR04,32288,27563,0
SHA256,59743,31,31501
BMP180,56017,3883,0
SR04,32306,27529,0
SHA256,59729,36,31483
BMP180,56008,3892,0
SR04,32313,27537,0
SHA256,59742,30,31475
BMP180,56017,3883,0
SR04,32331,27580,0
SHA256,59805,37,31534
BMP180,56008,3892,0
SR04,32262,27539,0
SHA256,59693,31,31477
BMP180,56017,3883,0
SR04,32330,27529,0
SHA256,59754,36,31483
BMP180,56008,3892,0
SR04,32313,27562,0
SHA256,59767,30,31500
BMP180,56017,3883,0
SR04,32306,27555,0
SHA256,59755,37,31509
BMP180,56008,3892,0
SR04,32287,27537,0
SHA256,59717,30,31475
BMP180,56017,3883,0
SR04,32331,27579,0
SHA256,59804,37,31533
BMP180,56008,3892,0
SR04,32263,27611,0
SHA256,59766,31,31549
BMP180,56017,3883,0
SR04,32258,27529,0
SHA256,59681,36,31483
BMP180,56008,3892,0
SR04,32313,27588,0
SHA256,59793,31,31526
BMP180,56017,3883,0
SR04,32281,27603,0
SHA256,59778,37,31558
BMP180,56008,3892,0
SR04,32238,27636,0
SHA256,59767,30,31574
BMP180,56017,3883,0
SR04,32232,27554,0
SHA256,59680,37,31508
BMP180,56008,3892,0
SR04,32288,27587,0
SHA256,59767,31,31525
BMP180,56017,3883,0
SR04,32282,27554,0
SHA256,59730,37,31508
BMP180,56008,3892,0
SR04,32288,27562,0
SHA256,59743,30,31500
BMP180,56017,3883,0
SR04,32306,27554,0
SHA256,59754,37,31508
BMP180,56008,3892,0
SR04,32288,27587,0
SHA256,59767,31,31525
BMP180,56017,3883,0
SR04,32282,27554,0
SHA256,59730,37,31508
BMP180,56008,3892,0
SR04,32288,27587,0
SHA256,59767,31,31525
BMP180,56017,3883,0
SR04,32282,27554,0
SHA256,59729,37,31508
BMP180,56008,3892,0
SR04,32288,27513,0
SHA256,59694,30,31451
BMP180,56017,3883,0
SR04,32355,27579,0
SHA256,59828,37,31533
BMP180,56008,3892,0
SR04,32263,27562,0
SHA256,59717,31,31500
BMP180,56017,3883,0
SR04,32307,27530,0
SHA256,59731,37,31484
BMP180,56008,3892,0
SR04,32312,27563,0
SHA256,59767,31,31501
BMP180,56017,3883,0
SR04,32306,27505,0
SHA256,59704,37,31459
BMP180,56008,3892,0
SR04,32336,27514,0
SHA256,59742,31,31451
BMP180,56018,3882,0
SR04,32356,27579,0
SHA256,59829,37,31533
BMP180,56008,3892,0
SR04,32263,27538,0
SHA256,59693,31,31476
BMP180,56017,3883,0
SR04,32331,27578,0
SHA256,59804,36,31532
BMP180,56008,3892,0
SR04,32264,27586,0
SHA256,59742,30,31524
BMP180,56017,3883,0
SR04,32282,27554,0
SHA256,59730,37,31508
BMP180,56008,3892,0
SR04,32288,27538,0
SHA256,59718,31,31476
BMP180,56017,3883,0
SR04,32331,27554,0
SHA256,59779,37,31508
BMP180,56008,3892,0
SR04,32288,27562,0
SHA256,59742,31,31500
BMP180,56017,3883,0
SR04,32307,27579,0
SHA256,59779,37,31533
BMP180,56008,3892,0
SR04,32263,27612,0
SHA256,59767,31,31550
BMP180,56017,3883,0
SR04,32257,27530,0
SHA256,59682,36,31484
BMP180,56008,3892,0
SR04,32312,27611,0
SHA256,59816,31,31550
BMP180,56017,3883,0
SR04,32257,27604,0
SHA256,59755,37,31558
BMP180,56008,3892,0
SR04,32238,27636,0
SHA256,59766,31,31574
BMP180,56017,3883,0
SR04,32233,27653,0
SHA256,59779,37,31607
BMP180,56008,3892,0
SR04,32189,27611,0
SHA256,59693,30,31549
BMP180,56017,3883,0
SR04,32257,27529,0
SHA256,59680,37,31483
BMP180,56008,3892,0
SR04,32313,27538,0
SHA256,59743,31,31476
BMP180,56017,3883,0
SR04,32331,27530,0
SHA256,59756,36,31484
BMP180,56008,3892,0
SR04,32312,27538,0
SHA256,59741,31,31476
BMP180,56017,3883,0
SR04,32331,27530,0
SHA256,59755,37,31484
BMP180,56008,3892,0
SR04,32312,27538,0
SHA256,59742,31,31476
BMP180,56017,3883,0
SR04,32331,27554,0
SHA256,59780,36,31508
BMP180,56008,3892,0
SR04,32288,27562,0
SHA256,59743,30,31500
BMP180,56017,3883,0
SR04,32306,27529,0
SHA256,59729,37,31483
BMP180,56008,3892,0
SR04,32313,27538,0
SHA256,59744,30,31476
BMP180,56017,3883,0
SR04,32330,27628,0
SHA256,59853,36,31582
BMP180,56008,3892,0
SR04,32214,27513,0
SHA256,59620,30,31451
