name,waitTime,runningTime,rngTime
SR04,7252,2288,0
BMP180,7207,6159,0
SHA256,13463,124,6295
SR04,60137,2377,0
BMP180,56266,6230,0
SHA256,37267,26,6268
BMP180,53637,3817,0
SR04,61259,2384,0
BMP180,36,6037,0
SHA256,34793,3692,6054
SR04,28888,2348,0
SHA256,5,14,33866
BMP180,59879,3817,0
SR04,36147,2387,0
BMP180,44,6186,0
SHA256,38525,3691,6201
SR04,58544,2353,0
SHA256,32037,14,63534
BMP180,59750,3818,0
SR04,6492,2388,0
BMP180,44,6186,0
SHA256,8864,3695,6202
SR04,58546,2352,0
SHA256,32037,14,63530
BMP180,59748,3817,0
SR04,6494,2388,0
BMP180,44,6186,0
SHA256,8867,3693,6200
SR04,58547,2352,0
SHA256,32038,14,63533
BMP180,59751,3818,0
SR04,6494,2388,0
BMP180,44,6186,0
SHA256,8865,3695,6201
SR04,58546,2352,0
SHA256,32037,14,63530
BMP180,59749,3817,0
SR04,6495,2389,0
BMP180,44,6187,0
SHA256,8868,3693,6201
SR04,58546,2352,0
SHA256,32037,14,63533
BMP180,59750,3818,0
SR04,6493,2270,0
BMP180,44,6068,0
SHA256,8746,3695,6083
SR04,58664,2352,0
SHA256,32155,14,63530
BMP180,59867,3817,0
SR04,6495,2388,0
BMP180,44,6186,0
SHA256,8867,3694,6201
SR04,58546,2353,0
SHA256,32038,14,63534
BMP180,59751,3818,0
SR04,6492,2389,0
BMP180,44,6187,0
SHA256,8866,3694,6202
SR04,58545,2352,0
SHA256,32036,14,63530
BMP180,59748,3817,0
SR04,6494,2388,0
BMP180,44,6186,0
SHA256,8867,3693,6200
SR04,58547,2352,0
SHA256,32038,14,63533
BMP180,59751,3818,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8865,3695,6202
SR04,58545,2352,0
SHA256,32036,14,63530
BMP180,59748,3817,0
SR04,6494,2389,0
BMP180,44,6187,0
SHA256,8867,3693,6201
SR04,58546,2352,0
SHA256,32037,14,63533
BMP180,59750,3818,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8865,3695,6202
SR04,58546,2352,0
SHA256,32037,14,63530
BMP180,59748,3817,0
SR04,6494,2389,0
BMP180,44,6187,0
SHA256,8867,3693,6201
SR04,58546,2352,0
SHA256,32037,14,63533
BMP180,59750,3818,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8865,3695,6202
SR04,58546,2352,0
SHA256,32037,14,63530
BMP180,59748,3817,0
SR04,6494,2389,0
BMP180,44,6187,0
SHA256,8868,3693,6201
SR04,58546,2352,0
SHA256,32037,14,63533
BMP180,59750,3818,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8866,3695,6202
SR04,58546,2352,0
