name,waitTime,runningTime,rngTime
SR04,7252,2381,0
BMP180,7207,6251,0
SHA256,13555,124,6387
SR04,500045,2346,0
BMP180,496174,6158,0
SHA256,477139,16,6185
BMP180,493714,3811,0
SR04,501347,2357,0
BMP180,36,6009,0
SHA256,474868,3669,6017
SR04,28869,2347,0
SHA256,5,14,33794
BMP180,499923,3812,0
SR04,476231,2361,0
SHA256,478590,3668,6154
BMP180,41,6155,0
SR04,498575,2350,0
SHA256,472189,13,503521
BMP180,474646,3812,0
SR04,31561,2326,0
SHA256,33853,13,31447
BMP180,496071,3812,0
SR04,472523,2361,0
SHA256,474873,3668,6154
BMP180,41,6155,0
SR04,498575,2327,0
SHA256,472167,13,503498
BMP180,474646,3812,0
SR04,31584,2325,0
SHA256,33875,14,31447
BMP180,496071,3812,0
SR04,472524,2360,0
SHA256,474873,3668,6153
BMP180,41,6154,0
SR04,498576,2325,0
SHA256,472166,14,503497
BMP180,474647,3812,0
SR04,31586,2348,0
SHA256,33900,14,31470
BMP180,496071,3812,0
SR04,472502,2360,0
SHA256,474850,3668,6153
BMP180,41,6154,0
SR04,498577,2350,0
SHA256,472191,13,503522
BMP180,474648,3811,0
SR04,31561,2325,0
SHA256,33850,14,31445
BMP180,496071,3812,0
SR04,472526,2359,0
SHA256,474874,3668,6153
BMP180,41,6154,0
SR04,498577,2349,0
SHA256,472190,13,503521
BMP180,474648,3811,0
SR04,31561,2350,0
SHA256,33876,14,31470
BMP180,496071,3812,0
SR04,472501,2384,0
SHA256,474873,3669,6178
BMP180,41,6179,0
SR04,498552,2349,0
SHA256,472166,13,503521
BMP180,474624,3811,0
SR04,31561,2349,0
SHA256,33876,13,31469
BMP180,496071,3812,0
SR04,472502,2266,0
SHA256,474756,3669,6060
BMP180,41,6061,0
SR04,498671,2349,0
SHA256,472284,13,503521
BMP180,474742,3811,0
SR04,31561,2349,0
SHA256,33876,13,31469
BMP180,496071,3812,0
SR04,472501,2384,0
SHA256,474873,3669,6178
BMP180,41,6179,0
SR04,498552,2349,0
SHA256,472166,13,503521
BMP180,474623,3811,0
SR04,31562,2349,0
SHA256,33876,14,31470
BMP180,496071,3812,0
SR04,472501,2385,0
SHA256,474874,3668,6178
BMP180,41,6180,0
SR04,498551,2350,0
SHA256,472166,13,503522
BMP180,474623,3811,0
SR04,31561,2350,0
SHA256,33875,14,31470
BMP180,496071,3812,0
SR04,472501,2384,0
SHA256,474873,3669,6178
BMP180,41,6179,0
SR04,498553,2350,0
SHA256,472167,13,503522
BMP180,474624,3811,0
SR04,31561,2349,0
SHA256,33874,14,31469
BMP180,496071,3812,0
SR04,472502,2385,0
SHA256,474875,3669,6179
BMP180,41,6180,0
SR04,498551,2350,0
SHA256,472166,13,503522
BMP180,474622,3812,0
SR04,31561,2349,0
SHA256,33876,13,31470
BMP180,496070,3812,0
SR04,472500,2384,0
SHA256,474873,3668,6178
BMP180,41,6179,0
SR04,498552,2349,0
SHA256,472165,14,503522
BMP180,474623,3811,0
SR04,31561,2349,0
SHA256,33876,13,31469
BMP180,496071,3812,0
SR04,472501,2385,0
SHA256,474874,3669,6179
BMP180,41,6180,0
SR04,498551,2348,0
SHA256,472164,13,503520
BMP180,474622,3811,0
SR04,31562,2349,0
SHA256,33877,14,31470
BMP180,496071,3812,0
SR04,472501,2384,0
SHA256,474874,3668,6178
