name,waitTime,runningTime,rngTime
SR04,7254,2290,0
BMP180,7209,6160,0
SHA256,13466,124,6296
SR04,250136,2370,0
BMP180,246265,6182,0
SHA256,227254,15,6209
BMP180,243690,3811,0
SR04,251322,2382,0
SHA256,224867,3670,6042
BMP180,36,6043,0
SR04,28769,2346,0
SHA256,6,15,33593
BMP180,222374,3812,0
SR04,251268,2349,0
SHA256,253624,13,31473
BMP180,246071,3812,0
SR04,222498,2267,0
SHA256,224749,3669,6060
BMP180,41,6061,0
SR04,248670,2349,0
SHA256,222283,13,253520
BMP180,224741,3812,0
SR04,31562,2349,0
SHA256,33877,13,31470
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224874,3668,6178
BMP180,41,6179,0
SR04,248551,2374,0
SHA256,222190,13,253545
BMP180,224622,3812,0
SR04,31537,2349,0
SHA256,33852,13,31470
BMP180,246071,3812,0
SR04,222500,2267,0
SHA256,224755,3669,6060
BMP180,41,6061,0
SR04,248670,2350,0
SHA256,222283,14,253521
BMP180,224741,3812,0
SR04,31562,2348,0
SHA256,33875,13,31469
BMP180,246071,3812,0
SR04,222501,2385,0
SHA256,224874,3669,6178
BMP180,41,6179,0
SR04,248552,2350,0
SHA256,222166,13,253521
BMP180,224623,3812,0
SR04,31562,2349,0
SHA256,33876,13,31470
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248551,2349,0
SHA256,222165,13,253520
BMP180,224622,3812,0
SR04,31562,2348,0
SHA256,33876,14,31470
BMP180,246071,3812,0
SR04,222501,2384,0
SHA256,224873,3669,6177
BMP180,41,6178,0
SR04,248552,2349,0
SHA256,222166,13,253520
BMP180,224623,3812,0
SR04,31562,2349,0
SHA256,33877,13,31470
BMP180,246071,3812,0
SR04,222500,2386,0
SHA256,224874,3668,6178
BMP180,41,6180,0
SR04,248552,2349,0
SHA256,222165,14,253522
BMP180,224623,3811,0
SR04,31561,2349,0
SHA256,33876,13,31469
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248552,2349,0
SHA256,222165,14,253521
BMP180,224623,3811,0
SR04,31562,2350,0
SHA256,33878,13,31470
BMP180,246071,3812,0
SR04,222500,2384,0
SHA256,224871,3669,6177
BMP180,41,6178,0
SR04,248553,2373,0
SHA256,222191,13,253545
BMP180,224624,3811,0
SR04,31537,2349,0
SHA256,33852,13,31469
BMP180,246071,3812,0
SR04,222500,2384,0
SHA256,224872,3669,6177
BMP180,41,6178,0
SR04,248553,2349,0
SHA256,222167,13,253521
BMP180,224624,3811,0
SR04,31561,2350,0
SHA256,33876,14,31470
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248552,2349,0
SHA256,222166,13,253521
BMP180,224624,3811,0
SR04,31562,2348,0
SHA256,33875,13,31468
BMP180,246071,3812,0
SR04,222501,2386,0
SHA256,224875,3669,6179
BMP180,41,6180,0
SR04,248552,2348,0
SHA256,222164,14,253521
BMP180,224623,3811,0
SR04,31562,2349,0
SHA256,33877,13,31469
BMP180,246071,3812,0
SR04,222501,2386,0
SHA256,224875,3669,6179
BMP180,41,6180,0
SR04,248552,2349,0
SHA256,222164,14,253521
BMP180,224623,3811,0
SR04,31562,2349,0
SHA256,33877,14,31470
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248553,2348,0
SHA256,222165,13,253520
BMP180,224624,3811,0
SR04,31562,2349,0
SHA256,33877,13,31469
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248553,2348,0
SHA256,222165,13,253520
BMP180,224624,3811,0
SR04,31562,2349,0
SHA256,33877,13,31469
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3668,6177
BMP180,41,6178,0
SR04,248553,2348,0
SHA256,222166,13,253520
BMP180,224624,3811,0
SR04,31562,2349,0
SHA256,33877,14,31470
BMP180,246071,3812,0
SR04,222500,2384,0
SHA256,224873,3668,6177
BMP180,41,6178,0
SR04,248553,2348,0
SHA256,222166,13,253520
BMP180,224624,3811,0
SR04,31562,2349,0
SHA256,33876,14,31469
BMP180,246071,3812,0
SR04,222501,2384,0
SHA256,224874,3668,6177
BMP180,41,6178,0
SR04,248553,2348,0
SHA256,222166,13,253520
BMP180,224624,3811,0
SR04,31562,2350,0
SHA256,33878,13,31470
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248553,2348,0
SHA256,222165,13,253520
BMP180,224624,3811,0
SR04,31562,2349,0
SHA256,33877,14,31470
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248553,2348,0
SHA256,222165,14,253521
BMP180,224624,3811,0
SR04,31562,2349,0
SHA256,33877,14,31470
BMP180,246071,3812,0
SR04,222500,2385,0
SHA256,224873,3669,6178
BMP180,41,6179,0
SR04,248553,2348,0
SHA256,222165,13,253520
BMP180,224624,3811,0
SR04,31563,2349,0
SHA256,33877,13,31469
