name,waitTime,runningTime,rngTime
SR04,7252,2362,0
BMP180,7207,6232,0
SHA256,13535,124,6368
SR04,995048,2303,0
BMP180,996174,3819,0
SHA256,974804,15,3846
SR04,6568,2313,0
BMP180,45,6113,0
SHA256,3570,15,6140
SR04,998487,2303,0
BMP180,999813,3811,0
SHA256,978486,14,3837
SR04,6562,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6563,2339,0
BMP180,46,6138,0
SHA256,3569,15,6164
SR04,998471,2302,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2303,0
BMP180,999798,3811,0
SHA256,978470,14,3837
SR04,6562,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,45,6137,0
SHA256,3569,16,6164
SR04,998471,2303,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6563,2337,0
BMP180,46,6137,0
SHA256,3569,15,6163
SR04,998472,2302,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,45,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978470,14,3837
SR04,6563,2337,0
BMP180,46,6136,0
SHA256,3570,15,6163
SR04,998472,2302,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6563,2338,0
BMP180,46,6138,0
SHA256,3569,15,6164
SR04,998471,2302,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6563,2431,0
BMP180,46,6230,0
SHA256,3570,15,6257
SR04,998378,2489,0
BMP180,999704,3811,0
SHA256,978377,14,3837
SR04,6376,2339,0
BMP180,45,6138,0
SHA256,3570,15,6165
SR04,998470,2302,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,45,6137,0
SHA256,3570,15,6164
SR04,998471,2303,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,45,6137,0
SHA256,3570,15,6164
SR04,998471,2303,0
BMP180,999798,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2303,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6562,2339,0
BMP180,45,6138,0
SHA256,3570,15,6165
SR04,998470,2302,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6564,2337,0
BMP180,46,6137,0
SHA256,3569,15,6163
SR04,998472,2302,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6563,2338,0
BMP180,45,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978470,14,3837
SR04,6563,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2302,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6563,2337,0
BMP180,46,6137,0
SHA256,3569,15,6163
SR04,998472,2302,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6564,2338,0
BMP180,46,6138,0
SHA256,3569,15,6164
SR04,998471,2277,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6588,2314,0
BMP180,46,6113,0
SHA256,3569,16,6140
SR04,998496,2278,0
BMP180,999822,3811,0
SHA256,978495,14,3837
SR04,6588,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2278,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6588,2339,0
BMP180,46,6138,0
SHA256,3570,15,6165
SR04,998470,2278,0
BMP180,999797,3811,0
SHA256,978469,14,3837
SR04,6587,2315,0
BMP180,45,6114,0
SHA256,3569,16,6141
SR04,998495,2278,0
BMP180,999821,3811,0
SHA256,978494,14,3837
SR04,6587,2313,0
BMP180,46,6112,0
SHA256,3570,15,6139
SR04,998496,2278,0
BMP180,999822,3811,0
SHA256,978495,14,3837
SR04,6587,2313,0
BMP180,46,6112,0
SHA256,3570,15,6139
SR04,998496,2302,0
BMP180,999822,3811,0
SHA256,978495,14,3837
SR04,6564,2338,0
BMP180,46,6137,0
SHA256,3570,15,6164
SR04,998471,2278,0
BMP180,999797,3811,0
SHA256,978470,14,3837
SR04,6587,2314,0
BMP180,46,6113,0
SHA256,3570,15,6140
SR04,998495,2277,0
BMP180,999822,3811,0
SHA256,978494,14,3837
SR04,6588,2338,0
BMP180,46,6136,0
SHA256,3570,15,6163
SR04,998472,2303,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6562,2337,0
BMP180,46,6136,0
SHA256,3570,15,6163
SR04,998472,2278,0
BMP180,999798,3811,0
SHA256,978471,14,3837
SR04,6587,2314,0
BMP180,45,6113,0
SHA256,3570,15,6140
SR04,998495,2278,0
BMP180,999821,3811,0
SHA256,978494,14,3837
SR04,6587,2339,0
BMP180,46,6138,0
SHA256,3570,15,6165
SR04,998470,2302,0
