name,waitTime,runningTime,rngTime
SR04,7254,2353,0
BMP180,7209,6225,0
SHA256,13530,125,6361
BMP180,6204,22700,0
SR04,28969,31227,0
SHA256,7,25,50341
BMP180,38,3824,0
BMP180,5592,23285,0
SR04,28923,6173,0
SHA256,35093,26,25810
BMP180,2394,3819,0
SR04,29052,6169,0
SR04,25100,2386,0
SHA256,35199,29991,61128
BMP180,270,61265,0
SR04,2,2543,0
SHA256,45,16,61308
BMP180,37,3821,0
SHA256,5,3661,3852
SR04,28953,31206,0
BMP180,4673,54295,0
SR04,2,2427,0
SHA256,47,19,54343
BMP180,3,3826,0
SHA256,5,3621,3852
SR04,3864,2342,0
SHA256,5,3574,6150
BMP180,45,6156,0
SR04,53705,2390,0
SHA256,5,20,58772
BMP180,2,3836,0
SR04,3734,2319,0
BMP180,35,6008,0
SHA256,6058,3715,6041
SR04,28898,31207,0
BMP180,2668,56317,0
SR04,3,2431,0
SHA256,46,19,56365
BMP180,3,3839,0
SR04,3772,2321,0
SHA256,6,3615,3847
BMP180,35,6025,0
SHA256,5,3591,6045
SR04,28886,31205,0
BMP180,3480,55487,0
SR04,3,2431,0
SHA256,47,18,55534
BMP180,3,3823,0
SHA256,5,3614,3844
SR04,3861,2319,0
BMP180,48,6130,0
SR04,3610,27436,0
SHA256,6,31180,23295
BMP180,4207,26937,0
SR04,3685,2319,0
SHA256,5,3509,26939
BMP180,36,6022,0
SR04,3747,2421,0
SHA256,6,3589,6025
BMP180,35,6106,0
SHA256,5,3567,6113
SR04,28860,31206,0
BMP180,557,58393,0
SR04,3,2427,0
SHA256,46,18,58440
BMP180,3,3838,0
SR04,3770,2318,0
SHA256,6,3614,3843
BMP180,35,6020,0
SHA256,5,3591,6040
SR04,28885,31207,0
BMP180,1411,57561,0
SR04,3,2426,0
SHA256,47,19,57609
BMP180,3,3839,0
SR04,3772,2317,0
SHA256,5,3616,3847
BMP180,36,6021,0
SHA256,5,3591,6040
SR04,28884,31205,0
BMP180,2241,56727,0
SR04,3,2432,0
SHA256,47,18,56774
BMP180,3,3838,0
SR04,3771,2317,0
SHA256,5,3615,3843
BMP180,36,6019,0
SHA256,5,3591,6039
SR04,28886,31207,0
BMP180,3079,55894,0
SR04,3,2431,0
SHA256,46,20,55942
BMP180,2,3826,0
SHA256,5,3616,3848
SR04,3863,2343,0
BMP180,45,6157,0
SR04,3613,27436,0
SHA256,5,31183,23730
BMP180,3772,27370,0
SR04,3682,2344,0
SHA256,5,3508,27370
BMP180,36,6046,0
SR04,3747,2420,0
SHA256,6,3589,6049
BMP180,35,6104,0
SHA256,5,3567,6111
SR04,28860,31207,0
BMP180,101,58854,0
SR04,3,2426,0
SHA256,46,20,58903
BMP180,3,3839,0
SR04,3773,2327,0
SHA256,6,3615,3847
BMP180,35,6020,0
SHA256,6,3566,6027
SR04,28874,31205,0
BMP180,951,58014,0
SR04,3,2426,0
SHA256,46,19,58061
BMP180,2,3838,0
SR04,3770,2318,0
SHA256,5,3615,3844
BMP180,35,6020,0
SHA256,5,3591,6040
SR04,28887,31206,0
BMP180,1794,57179,0
SR04,3,2430,0
SHA256,46,20,57227
BMP180,2,3840,0
SR04,3772,2317,0
SHA256,5,3616,3848
BMP180,36,6020,0
SHA256,6,3589,6039
SR04,28885,31205,0
BMP180,2623,56345,0
SR04,3,2430,0
SHA256,46,18,56391
BMP180,3,3838,0
SR04,3770,2411,0
SHA256,5,3615,3844
BMP180,35,6114,0
SHA256,5,3591,6133
SR04,28886,31207,0
BMP180,3368,55605,0
SR04,3,2431,0
SHA256,46,19,55653
BMP180,3,3826,0
SHA256,6,3616,3848
SR04,3863,2318,0
BMP180,45,6132,0
SR04,3612,27437,0
SHA256,5,31184,23417
BMP180,4086,27058,0
SR04,3683,2318,0
SHA256,5,3509,27058
BMP180,35,6022,0
SR04,3747,2420,0
SHA256,6,3588,6024
BMP180,36,6103,0
SHA256,6,3567,6111
SR04,28861,31206,0
BMP180,439,58515,0
SR04,3,2426,0
SHA256,46,20,58564
BMP180,3,3839,0
SR04,3773,2317,0
SHA256,5,3616,3847
BMP180,35,6021,0
SHA256,5,3567,6029
SR04,28884,31207,0
BMP180,1287,57677,0
SR04,3,2426,0
SHA256,47,17,57723
BMP180,3,3838,0
SR04,3770,2318,0
SHA256,5,3615,3844
BMP180,35,6021,0
SHA256,6,3590,6040
SR04,28885,31206,0
BMP180,2129,56843,0
SR04,3,2431,0
SHA256,46,19,56891
BMP180,3,3839,0
SR04,3772,2412,0
SHA256,6,3615,3847
BMP180,35,6116,0
SHA256,5,3591,6136
SR04,28885,31204,0
BMP180,2863,56103,0
SR04,3,2431,0
SHA256,46,18,56150
BMP180,3,3837,0
SR04,3771,2317,0
SHA256,5,3615,3843
BMP180,36,6019,0
SHA256,5,3591,6039
SR04,28885,31208,0
BMP180,3703,55270,0
SR04,2,2431,0
SHA256,47,19,55318
BMP180,3,3825,0
SHA256,5,3617,3848
SR04,3864,2317,0
BMP180,45,6132,0
SR04,3613,27436,0
SHA256,6,31183,23081
BMP180,4421,26721,0
SR04,3682,2318,0
SHA256,5,3508,26721
