name,waitTime,runningTime,rngTime
SR04,7252,2445,0
BMP180,7207,6317,0
SHA256,13620,125,6453
SR04,29980,2415,0
BMP180,26108,6269,0
SHA256,7148,27,6308
BMP180,23597,5265,0
SR04,28882,31212,0
BMP180,3,3825,0
SR04,3,6094,0
SHA256,5,20,32864
BMP180,35,6065,0
SHA256,5,3606,6081
SR04,28910,2388,0
BMP180,26917,4371,0
SHA256,5,3533,4384
SR04,3693,2401,0
BMP180,49,6203,0
SHA256,5,3576,6211
SR04,28772,2387,0
SHA256,6,14,34058
BMP180,29172,3820,0
SR04,5411,2428,0
BMP180,45,6226,0
SHA256,7831,3696,6242
SR04,28881,2387,0
SHA256,5,15,34088
BMP180,29706,3819,0
SR04,5942,2383,0
BMP180,45,6180,0
SHA256,8317,3694,6195
SR04,28880,2387,0
SHA256,5,15,34046
BMP180,29754,3820,0
SR04,5986,2428,0
BMP180,45,6226,0
SHA256,8404,3696,6241
SR04,28880,2387,0
SHA256,5,15,34087
BMP180,29707,3819,0
SR04,5943,2428,0
BMP180,45,6226,0
SHA256,8361,3695,6240
SR04,28880,2387,0
SHA256,5,15,34092
BMP180,29709,3820,0
SR04,5940,2403,0
BMP180,45,6201,0
SHA256,8335,3696,6217
SR04,28880,2387,0
SHA256,5,15,34063
BMP180,29731,3819,0
SR04,5967,2429,0
BMP180,45,6227,0
SHA256,8387,3694,6241
SR04,28880,2388,0
SHA256,5,15,34094
BMP180,29708,3820,0
SR04,5938,2428,0
BMP180,45,6226,0
SHA256,8358,3696,6242
SR04,28880,2388,0
SHA256,5,15,34088
BMP180,29707,3819,0
SR04,5942,2404,0
BMP180,45,6201,0
SHA256,8337,3694,6216
SR04,28880,2387,0
SHA256,6,14,34067
BMP180,29734,3820,0
SR04,5965,2404,0
BMP180,45,6202,0
SHA256,8360,3696,6218
SR04,28880,2388,0
SHA256,5,15,34064
BMP180,29730,3819,0
SR04,5966,2403,0
BMP180,45,6201,0
SHA256,8360,3695,6216
SR04,28881,2387,0
SHA256,6,14,34067
BMP180,29734,3820,0
SR04,5965,2404,0
BMP180,45,6202,0
SHA256,8360,3696,6218
SR04,28880,2387,0
SHA256,6,14,34063
BMP180,29730,3819,0
SR04,5967,2404,0
BMP180,45,6202,0
SHA256,8362,3695,6217
SR04,28881,2388,0
SHA256,5,15,34069
BMP180,29733,3820,0
SR04,5963,2404,0
BMP180,45,6202,0
SHA256,8357,3696,6217
SR04,28880,2387,0
SHA256,6,14,34063
BMP180,29731,3819,0
SR04,5966,2383,0
BMP180,45,6181,0
SHA256,8341,3694,6195
SR04,28881,2388,0
SHA256,5,15,34048
BMP180,29754,3820,0
SR04,5984,2429,0
BMP180,45,6227,0
SHA256,8404,3696,6243
SR04,28880,2388,0
SHA256,5,15,34089
BMP180,29705,3819,0
SR04,5941,2359,0
BMP180,45,6157,0
SHA256,8291,3695,6172
SR04,28880,2387,0
SHA256,5,15,34023
BMP180,29778,3820,0
SR04,6009,2427,0
BMP180,45,6225,0
SHA256,8427,3696,6241
SR04,28880,2388,0
SHA256,5,14,34087
BMP180,29707,3819,0
SR04,5942,2428,0
BMP180,45,6226,0
SHA256,8362,3694,6240
SR04,28880,2388,0
SHA256,5,15,34092
