name,waitTime,runningTime,rngTime
SR04,7252,2406,0
BMP180,7207,6277,0
SHA256,13581,124,6413
SR04,120020,2377,0
BMP180,116148,6230,0
SHA256,97149,26,6268
BMP180,113634,3817,0
SR04,121255,2361,0
BMP180,35,6011,0
SHA256,94771,3689,6028
SR04,28885,2349,0
SHA256,5,14,33842
BMP180,119901,3818,0
SR04,96171,2387,0
BMP180,44,6185,0
SHA256,98549,3690,6200
SR04,118541,2327,0
SHA256,92010,14,123508
BMP180,119746,3819,0
SR04,6518,2364,0
BMP180,44,6162,0
SHA256,8863,3695,6178
SR04,118567,2352,0
SHA256,92061,14,123530
BMP180,119768,3818,0
SR04,6494,2364,0
BMP180,44,6162,0
SHA256,8839,3694,6177
SR04,118567,2352,0
SHA256,92061,14,123533
BMP180,119771,3819,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8862,3695,6202
SR04,118543,2352,0
SHA256,92037,14,123530
BMP180,119744,3818,0
SR04,6494,2389,0
BMP180,44,6186,0
SHA256,8863,3694,6201
SR04,118543,2353,0
SHA256,92038,14,123534
BMP180,119746,3819,0
SR04,6492,2364,0
BMP180,44,6162,0
SHA256,8837,3694,6177
SR04,118567,2328,0
SHA256,92037,14,123506
BMP180,119769,3818,0
SR04,6518,2364,0
BMP180,44,6162,0
SHA256,8864,3693,6176
SR04,118568,2328,0
SHA256,92038,14,123509
BMP180,119771,3819,0
SR04,6517,2365,0
BMP180,44,6163,0
SHA256,8864,3694,6178
SR04,118566,2353,0
SHA256,92061,13,123530
BMP180,119768,3818,0
SR04,6494,2363,0
BMP180,44,6161,0
SHA256,8838,3693,6175
SR04,118569,2328,0
SHA256,92039,14,123509
BMP180,119772,3819,0
SR04,6518,2364,0
BMP180,44,6162,0
SHA256,8863,3695,6178
SR04,118567,2328,0
SHA256,92037,14,123506
BMP180,119768,3818,0
SR04,6518,2364,0
BMP180,44,6162,0
SHA256,8864,3693,6176
SR04,118568,2352,0
SHA256,92062,14,123533
BMP180,119771,3819,0
SR04,6493,2364,0
BMP180,44,6162,0
SHA256,8838,3694,6177
SR04,118567,2352,0
SHA256,92061,14,123530
BMP180,119769,3818,0
SR04,6494,2364,0
BMP180,44,6162,0
SHA256,8839,3693,6176
SR04,118568,2352,0
SHA256,92063,13,123533
BMP180,119771,3819,0
SR04,6493,2363,0
BMP180,44,6161,0
SHA256,8837,3695,6177
SR04,118568,2327,0
SHA256,92037,14,123505
BMP180,119769,3818,0
SR04,6519,2363,0
BMP180,44,6161,0
SHA256,8863,3694,6176
SR04,118568,2353,0
SHA256,92063,14,123534
BMP180,119772,3819,0
SR04,6493,2364,0
BMP180,44,6162,0
SHA256,8838,3695,6178
SR04,118567,2327,0
SHA256,92036,14,123505
BMP180,119768,3818,0
SR04,6519,2364,0
BMP180,44,6162,0
SHA256,8864,3693,6176
SR04,118568,2353,0
SHA256,92063,14,123534
BMP180,119771,3819,0
SR04,6492,2364,0
BMP180,44,6162,0
SHA256,8837,3694,6177
SR04,118567,2352,0
SHA256,92061,14,123530
BMP180,119769,3818,0
SR04,6494,2365,0
BMP180,44,6163,0
SHA256,8840,3693,6177
SR04,118567,2329,0
SHA256,92038,14,123510
BMP180,119770,3819,0
SR04,6516,2365,0
BMP180,44,6163,0
SHA256,8862,3695,6179
SR04,118566,2352,0
SHA256,92060,14,123530
BMP180,119767,3818,0
SR04,6494,2365,0
BMP180,44,6162,0
SHA256,8839,3694,6177
SR04,118567,2328,0
SHA256,92037,14,123509
BMP180,119770,3819,0
SR04,6517,2364,0
BMP180,44,6162,0
SHA256,8862,3694,6177
SR04,118567,2328,0
SHA256,92036,14,123505
BMP180,119769,3818,0
SR04,6519,2364,0
BMP180,44,6162,0
SHA256,8864,3693,6176
SR04,118568,2352,0
SHA256,92062,14,123533
BMP180,119771,3819,0
SR04,6493,2363,0
BMP180,44,6161,0
SHA256,8837,3695,6177
SR04,118568,2352,0
SHA256,92062,14,123530
BMP180,119769,3818,0
SR04,6494,2364,0
BMP180,44,6162,0
SHA256,8839,3693,6176
SR04,118568,2352,0
SHA256,92062,14,123533
BMP180,119771,3819,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8862,3694,6201
SR04,118543,2352,0
SHA256,92037,14,123530
BMP180,119745,3818,0
SR04,6494,2389,0
BMP180,44,6187,0
SHA256,8864,3693,6201
SR04,118543,2353,0
SHA256,92037,14,123534
BMP180,119746,3819,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8862,3694,6201
SR04,118543,2353,0
SHA256,92037,14,123530
BMP180,119745,3818,0
SR04,6494,2389,0
BMP180,44,6187,0
SHA256,8864,3693,6201
SR04,118543,2352,0
SHA256,92037,14,123533
BMP180,119746,3819,0
SR04,6493,2364,0
BMP180,44,6162,0
SHA256,8838,3694,6177
SR04,118567,2352,0
SHA256,92061,14,123530
BMP180,119769,3818,0
SR04,6494,2388,0
BMP180,44,6186,0
SHA256,8864,3693,6200
SR04,118544,2352,0
SHA256,92037,14,123533
BMP180,119747,3819,0
SR04,6493,2388,0
BMP180,44,6187,0
SHA256,8862,3695,6202
SR04,118542,2353,0
SHA256,92036,14,123530
BMP180,119744,3818,0
SR04,6494,2388,0
BMP180,44,6186,0
SHA256,8863,3693,6200
SR04,118544,2352,0
SHA256,92039,13,123533
BMP180,119747,3819,0
SR04,6493,2363,0
BMP180,44,6162,0
SHA256,8837,3695,6177
SR04,118567,2352,0
SHA256,92061,14,123530
BMP180,119769,3818,0
SR04,6494,2365,0
BMP180,44,6163,0
SHA256,8840,3693,6177
SR04,118567,2352,0
SHA256,92061,14,123533
BMP180,119770,3819,0
SR04,6493,2388,0
BMP180,44,6187,0
SHA256,8862,3695,6202
SR04,118542,2352,0
SHA256,92036,13,123529
BMP180,119744,3818,0
SR04,6495,2388,0
BMP180,44,6186,0
SHA256,8864,3694,6201
SR04,118543,2352,0
SHA256,92038,13,123533
BMP180,119747,3819,0
SR04,6493,2388,0
BMP180,44,6186,0
SHA256,8862,3695,6202
SR04,118543,2352,0
SHA256,92037,13,123529
BMP180,119744,3818,0
SR04,6495,2388,0
BMP180,44,6186,0
